id,start_time,end_time,duration_bars,quality,compression,upper_r2,lower_r2,containment,pivots_high,pivots_low,breakout_dir,breakout_price,bars_to_breakout
50,2023-02-28 09:15:00,2023-02-28 10:30:00,16,0.812,0.502,1.0,1.0,0.938,2,2,down,17363.35,2
51,2023-02-28 10:25:00,2023-02-28 11:40:00,16,0.799,0.493,1.0,1.0,0.938,2,2,up,17383.6,2
52,2023-03-02 14:15:00,2023-03-02 15:25:00,15,0.773,0.695,1.0,1.0,0.933,2,2,up,17456.9,1
53,2023-03-08 09:50:00,2023-03-08 13:05:00,40,0.764,0.657,1.0,1.0,0.85,2,2,up,17670.95,1
54,2023-03-13 09:20:00,2023-03-13 10:45:00,18,0.793,0.63,0.992,1.0,0.889,3,2,down,17404.45,3
55,2023-03-14 09:15:00,2023-03-14 10:45:00,19,0.836,0.445,1.0,1.0,1.0,2,2,up,17082.2,10
56,2023-03-14 15:25:00,2023-03-15 10:20:00,15,0.738,0.6,1.0,1.0,0.933,2,2,down,17119.3,4
57,2023-03-16 09:50:00,2023-03-16 12:40:00,35,0.784,0.618,1.0,1.0,0.914,2,2,up,16946.0,3
58,2023-03-17 14:55:00,2023-03-20 11:00:00,29,0.808,0.484,1.0,1.0,0.897,2,2,up,16924.15,9
59,2023-03-22 09:15:00,2023-03-22 10:35:00,17,0.83,0.506,0.997,1.0,0.941,3,2,up,17141.45,3
60,2023-03-23 09:15:00,2023-03-23 12:20:00,38,0.833,0.426,1.0,0.967,0.921,2,3,down,17161.75,1
61,2023-03-24 10:00:00,2023-03-24 11:30:00,19,0.799,0.628,1.0,1.0,1.0,2,2,up,17073.6,2
62,2023-03-27 15:00:00,2023-03-28 10:50:00,26,0.765,0.539,0.999,1.0,0.885,3,2,down,16932.05,1
63,2023-03-31 15:25:00,2023-04-03 10:20:00,15,0.775,0.507,0.942,1.0,0.867,3,2,down,17357.7,2
64,2023-04-10 09:25:00,2023-04-10 10:35:00,15,0.773,0.759,1.0,1.0,1.0,2,2,up,17623.35,4
65,2023-04-10 15:25:00,2023-04-11 12:25:00,40,0.712,0.736,1.0,0.768,0.925,2,3,down,17673.8,4
66,2023-04-11 15:25:00,2023-04-12 11:10:00,25,0.84,0.447,1.0,0.979,0.96,2,3,up,17762.05,3
67,2023-04-12 15:05:00,2023-04-13 10:35:00,22,0.7,0.708,0.751,1.0,0.864,3,2,down,17773.4,2
68,2023-04-18 09:15:00,2023-04-18 11:25:00,27,0.832,0.404,0.972,1.0,0.889,3,2,up,17680.3,1
69,2023-04-19 09:20:00,2023-04-19 10:30:00,15,0.819,0.413,1.0,1.0,1.0,2,2,up,17645.1,6
70,2023-04-20 09:20:00,2023-04-20 11:45:00,30,0.788,0.652,1.0,0.96,0.933,2,3,up,17626.1,3
71,2023-04-21 09:15:00,2023-04-21 10:45:00,19,0.828,0.426,0.968,1.0,0.895,3,2,up,17606.05,1
72,2023-04-25 14:40:00,2023-04-26 11:15:00,35,0.708,0.675,0.759,1.0,0.857,3,2,up,17775.75,2
73,2023-05-03 10:35:00,2023-05-03 11:45:00,15,0.768,0.72,1.0,1.0,0.933,2,2,up,18079.5,2
74,2023-05-09 14:10:00,2023-05-09 15:20:00,15,0.77,0.774,1.0,1.0,1.0,2,2,up,18313.35,2
75,2023-05-09 15:25:00,2023-05-10 10:45:00,20,0.757,0.689,1.0,1.0,1.0,2,2,down,18241.45,2
76,2023-05-11 09:15:00,2023-05-11 11:05:00,23,0.814,0.512,1.0,1.0,0.957,2,2,down,18329.85,5
77,2023-05-11 15:05:00,2023-05-12 11:25:00,32,0.765,0.529,1.0,1.0,1.0,2,2,down,18273.6,3
78,2023-05-16 10:30:00,2023-05-16 11:50:00,17,0.776,0.688,1.0,1.0,0.941,2,2,up,18361.95,5
79,2023-05-18 15:00:00,2023-05-19 10:30:00,22,0.79,0.676,1.0,1.0,1.0,2,2,up,18090.05,5
80,2023-05-19 12:20:00,2023-05-19 13:35:00,16,0.816,0.543,1.0,1.0,1.0,2,2,up,18141.65,4
81,2023-05-30 12:10:00,2023-05-30 13:20:00,15,0.742,0.541,1.0,1.0,0.867,2,2,up,18613.75,2
82,2023-05-30 15:15:00,2023-05-31 10:10:00,15,0.718,0.787,1.0,1.0,1.0,2,2,up,18541.35,6
83,2023-05-31 15:15:00,2023-06-01 10:20:00,17,0.863,0.308,1.0,0.974,0.941,2,3,down,18567.4,7
84,2023-06-01 15:15:00,2023-06-02 10:55:00,24,0.811,0.569,1.0,1.0,1.0,2,2,up,18515.25,3
85,2023-06-08 11:50:00,2023-06-08 13:00:00,15,0.765,0.733,1.0,1.0,0.933,2,2,up,18702.9,8
86,2023-06-08 15:20:00,2023-06-09 11:05:00,25,0.777,0.543,0.885,1.0,0.88,3,2,up,18627.7,3
87,2023-06-09 15:20:00,2023-06-12 10:45:00,21,0.815,0.504,1.0,1.0,0.952,2,2,up,18609.6,4
88,2023-06-16 15:00:00,2023-06-19 11:25:00,33,0.791,0.642,1.0,1.0,0.97,2,2,up,18779.1,3
89,2023-06-30 09:15:00,2023-06-30 10:40:00,18,0.815,0.438,1.0,1.0,0.889,2,2,up,19094.65,2
90,2023-07-04 09:15:00,2023-07-04 10:45:00,19,0.824,0.504,1.0,1.0,1.0,2,2,up,19342.9,4
