entry_time,exit_time,direction,entry_price,exit_price,stop_loss,peak_profit,pnl,exit_reason,month
2015-01-09 10:25:00+05:30,2015-01-09 11:25:00+05:30,long,8290.45,8264.75,8265.578650000001,0.0,-25.7,STOP_LOSS,2015-01
2015-01-12 09:55:00+05:30,2015-01-12 12:20:00+05:30,long,8285.9,8255.35,8261.0423,8.149999999999636,-30.55,STOP_LOSS,2015-01
2015-01-13 09:40:00+05:30,2015-01-13 14:30:00+05:30,long,8340.45,8300.35,8315.42865,15.049999999999272,-40.1,STOP_LOSS,2015-01
2015-01-14 11:20:00+05:30,2015-01-14 14:15:00+05:30,short,8281.7,8292.2,8289.223328411512,37.400000000001455,-10.5,STOP_LOSS,2015-01
2015-01-28 11:45:00+05:30,2015-01-28 12:45:00+05:30,long,8957.65,8925.75,8930.777049999999,26.149999999999636,-31.9,STOP_LOSS,2015-01
2015-01-30 11:10:00+05:30,2015-01-30 15:20:00+05:30,short,8868.1,8806.55,8868.40815041592,84.80000000000109,61.55,EOD_EXIT,2015-01
2015-02-03 12:10:00+05:30,2015-02-03 13:50:00+05:30,short,8741.65,8791.95,8767.87495,10.350000000000364,-50.3,STOP_LOSS,2015-02
2015-02-06 10:10:00+05:30,2015-02-06 15:20:00+05:30,short,8696.0,8667.85,8696.497279938281,41.29999999999927,28.15,EOD_EXIT,2015-02
2015-02-10 09:45:00+05:30,2015-02-10 09:55:00+05:30,long,8611.2,8585.3,8585.3664,0.0,-25.9,STOP_LOSS,2015-02
2015-02-11 09:55:00+05:30,2015-02-11 14:10:00+05:30,long,8607.55,8627.7,8606.686614083721,36.45000000000073,20.15,ST_TOUCH,2015-02
2015-02-13 11:40:00+05:30,2015-02-13 15:20:00+05:30,long,8755.15,8794.65,8728.884549999999,65.14999999999964,39.5,EOD_EXIT,2015-02
2015-02-19 09:45:00+05:30,2015-02-19 10:35:00+05:30,long,8893.4,8866.5,8866.719799999999,3.2000000000007276,-26.9,STOP_LOSS,2015-02
2015-02-24 10:50:00+05:30,2015-02-24 13:45:00+05:30,short,8756.75,8786.15,8783.02025,17.549999999999272,-29.4,STOP_LOSS,2015-02
2015-02-26 09:40:00+05:30,2015-02-26 14:45:00+05:30,short,8736.6,8704.15,8762.8098,51.80000000000109,32.45,ST_TOUCH,2015-02
2015-03-02 10:15:00+05:30,2015-03-02 10:40:00+05:30,long,8970.85,8942.15,8943.937450000001,0.0,-28.7,STOP_LOSS,2015-03
2015-03-04 09:40:00+05:30,2015-03-04 11:55:00+05:30,long,9078.55,9042.45,9051.314349999999,5.550000000001091,-36.1,STOP_LOSS,2015-03
2015-03-11 11:55:00+05:30,2015-03-11 12:25:00+05:30,short,8694.4,8721.2,8720.483199999999,0.0,-26.8,STOP_LOSS,2015-03
2015-03-13 11:05:00+05:30,2015-03-13 15:20:00+05:30,short,8729.4,8660.35,8738.683225218283,91.19999999999891,69.05,EOD_EXIT,2015-03
2015-03-17 10:00:00+05:30,2015-03-17 12:05:00+05:30,long,8713.3,8686.35,8687.1601,17.5,-26.95,STOP_LOSS,2015-03
2015-03-18 10:00:00+05:30,2015-03-18 13:50:00+05:30,long,8705.6,8677.6,8679.4832,20.100000000000364,-28.0,STOP_LOSS,2015-03
2015-03-20 09:45:00+05:30,2015-03-20 14:10:00+05:30,short,8605.35,8582.55,8631.16605,38.45000000000073,22.8,ST_TOUCH,2015-03
