direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,RETEST,2025-06-17 10:20:00+05:30,2025-06-17 10:35:00+05:30,24877.65,24894.452061975895,24894.452061975895,24894.452061975895,False,-16.8,10.15,30.75,STOP_LOSS,15,16.8021,-0.3,-0.289919,0.0006,-10.53,-4.9644,5.505,-0.4212,0.0,-5.3856,-5.3856,-350.06,50.0,-400.06,-1.402,65
long,RETEST,2025-06-18 09:55:00+05:30,2025-06-18 10:30:00+05:30,24902.25,24873.65976481516,24873.65976481516,24873.65976481516,False,-28.59,26.6,48.15,STOP_LOSS,35,-28.5902,0.3,0.282846,0.0006,-10.53,-8.3564,15.9393,-0.9828,0.0,-9.3392,-9.3392,-607.05,50.0,-657.05,3.2653,65
short,CROSSOVER_BREAKOUT,2025-06-23 09:30:00+05:30,2025-06-23 09:35:00+05:30,24863.0,24895.532412246084,24895.532412246084,24895.532412246084,False,-32.53,0.0,32.6,STOP_LOSS,5,32.5324,-0.3,-0.280481,0.0006,-10.53,-9.474,20.638,-0.1404,0.0,-9.6144,-9.6144,-624.93,50.0,-674.93,-0.4678,65
short,CROSSOVER_BREAKOUT,2025-06-30 09:45:00+05:30,2025-06-30 10:15:00+05:30,25569.4,25588.454265706554,25588.454265706554,25588.454265706554,False,-19.05,25.7,30.6,STOP_LOSS,30,19.0543,-0.3,-0.288567,0.0006,-10.53,-5.6183,7.0798,-0.8424,0.0,-6.4607,-6.4607,-419.94,50.0,-469.94,-2.8002,65
long,RETEST,2025-07-01 09:50:00+05:30,2025-07-01 10:10:00+05:30,25560.7,25534.122275729445,25534.122275729445,25534.122275729445,False,-26.58,12.05,30.2,STOP_LOSS,20,-26.5777,0.3,0.284053,0.0006,-10.53,-7.7826,13.7743,-0.5616,0.0,-8.3442,-8.3442,-542.37,50.0,-592.37,1.8685,65
short,RETEST,2025-07-04 09:30:00+05:30,2025-07-04 12:05:00+05:30,25406.75,25350.147325931437,25428.663481244686,25350.147325931437,True,56.6,75.1,20.1,TRAIL_SL,155,-56.6027,-0.3,-0.333962,0.0006,-10.53,17.8458,62.4753,-4.3524,0.0,13.4934,13.4934,877.07,50.0,827.07,-14.3034,65
long,RETEST,2025-07-09 10:25:00+05:30,2025-07-09 11:35:00+05:30,25518.7,25538.146405172774,25499.589743262113,25538.146405172774,True,19.45,30.0,2.95,TRAIL_SL,70,19.4464,0.3,0.311668,0.0006,-10.53,5.936,7.3742,-1.9656,0.0,3.9704,3.9704,258.08,50.0,208.08,6.5096,65
short,RETEST,2025-07-10 09:45:00+05:30,2025-07-10 11:10:00+05:30,25453.5,25388.799075398183,25468.05099464131,25388.799075398183,True,64.7,78.35,0.6,TRAIL_SL,85,-64.7009,-0.3,-0.338821,0.0006,-10.53,20.5406,81.6311,-2.3868,0.0,18.1538,18.1538,1179.99,50.0,1129.99,-7.8937,65
short,RETEST,2025-07-16 10:20:00+05:30,2025-07-16 11:45:00+05:30,25148.3,25160.223095649515,25160.223095649515,25160.223095649515,False,-11.92,27.25,18.15,STOP_LOSS,85,11.9231,-0.3,-0.292846,0.0006,-10.53,-3.5385,2.7721,-2.3868,0.0,-5.9253,-5.9253,-385.15,50.0,-435.15,-7.8937,65
short,CROSSOVER_BREAKOUT,2025-07-21 09:30:00+05:30,2025-07-21 09:40:00+05:30,24891.15,24912.354216586195,24912.354216586195,24912.354216586195,False,-21.2,0.25,53.35,STOP_LOSS,10,21.2042,-0.3,-0.287277,0.0006,-10.53,-6.2399,8.7676,-0.2808,0.0,-6.5207,-6.5207,-423.84,50.0,-473.84,-0.9351,65
short,RETEST,2025-07-21 09:40:00+05:30,2025-07-21 09:45:00+05:30,24938.7,24960.42505601363,24960.42505601363,24960.42505601363,False,-21.73,7.75,59.5,STOP_LOSS,5,21.7251,-0.3,-0.286965,0.0006,-10.53,-6.3901,9.2036,-0.1404,0.0,-6.5305,-6.5305,-424.48,50.0,-474.48,-0.4678,65
short,RETEST,2025-07-28 09:45:00+05:30,2025-07-28 10:10:00+05:30,24812.75,24838.10888166041,24838.10888166041,24838.10888166041,False,-25.36,17.95,31.5,STOP_LOSS,25,25.3589,-0.3,-0.284785,0.0006,-10.53,-7.434,12.5399,-0.702,0.0,-8.136,-8.136,-528.84,50.0,-578.84,-2.3345,65
short,CROSSOVER_BREAKOUT,2025-07-29 10:25:00+05:30,2025-07-29 11:10:00+05:30,24632.9,24652.20377914285,24652.20377914285,24652.20377914285,False,-19.3,18.6,27.35,STOP_LOSS,45,19.3038,-0.3,-0.288418,0.0006,-10.53,-5.6905,7.2664,-1.2636,0.0,-6.9541,-6.9541,-452.02,50.0,-502.02,-4.1944,65
short,CROSSOVER_BREAKOUT,2025-08-05 09:35:00+05:30,2025-08-05 10:05:00+05:30,24633.45,24618.771261295176,24652.1231952255,24618.771261295176,True,14.68,40.3,14.05,TRAIL_SL,30,-14.6787,-0.3,-0.308807,0.0006,-10.53,4.4618,4.2016,-0.8424,0.0,3.6194,3.6194,235.26,50.0,185.26,-2.8002,65
short,RETEST,2025-08-05 10:05:00+05:30,2025-08-05 11:10:00+05:30,24633.65,24619.172360221386,24651.066461993807,24619.172360221386,True,14.48,36.8,11.05,TRAIL_SL,65,-14.4776,-0.3,-0.308687,0.0006,-10.53,4.3999,4.0872,-1.8252,0.0,2.5747,2.5747,167.35,50.0,117.35,-6.0474,65
short,CROSSOVER_BREAKOUT,2025-08-08 10:05:00+05:30,2025-08-08 11:10:00+05:30,24451.2,24436.25584322636,24470.463196764966,24436.25584322636,True,14.94,42.9,30.05,TRAIL_SL,65,-14.9442,-0.3,-0.308966,0.0006,-10.53,4.5435,4.3549,-1.8252,0.0,2.7183,2.7183,176.69,50.0,126.69,-6.0474,65
long,RETEST,2025-08-13 10:10:00+05:30,2025-08-13 13:10:00+05:30,24580.5,24623.32263431748,24551.657465591958,24623.32263431748,True,42.82,57.55,41.6,TRAIL_SL,180,42.8226,0.3,0.325694,0.0006,-10.53,13.3419,35.7587,-5.0544,0.0,8.2875,8.2875,538.69,50.0,488.69,16.5733,65
short,RETEST,2025-08-29 10:15:00+05:30,2025-08-29 10:20:00+05:30,24494.2,24513.803478411202,24513.803478411202,24513.803478411202,False,-19.6,0.8,23.9,STOP_LOSS,5,19.6035,-0.3,-0.288238,0.0006,-10.53,-5.7773,7.4938,-0.1404,0.0,-5.9177,-5.9177,-384.65,50.0,-434.65,-0.4678,65
long,RETEST,2025-09-02 10:20:00+05:30,2025-09-02 12:40:00+05:30,24720.25,24743.620739078036,24697.699291623518,24743.620739078036,True,23.37,35.85,11.45,TRAIL_SL,140,23.3707,0.3,0.314022,0.0006,-10.53,7.1587,10.6507,-3.9312,0.0,3.2275,3.2275,209.79,50.0,159.79,12.9366,65
short,RETEST,2025-09-03 09:30:00+05:30,2025-09-03 09:50:00+05:30,24577.25,24571.86306470868,24603.461831061042,24571.86306470868,True,5.39,28.85,15.95,TRAIL_SL,20,-5.3869,-0.3,-0.303232,0.0006,-10.53,1.6239,0.5659,-0.5616,0.0,1.0623,1.0623,69.05,50.0,19.05,-1.8685,65
short,CROSSOVER_BREAKOUT,2025-09-05 10:20:00+05:30,2025-09-05 10:25:00+05:30,24675.3,24701.37680765234,24701.37680765234,24701.37680765234,False,-26.08,5.45,62.45,STOP_LOSS,5,26.0768,-0.3,-0.284354,0.0006,-10.53,-7.6394,13.26,-0.1404,0.0,-7.7798,-7.7798,-505.69,50.0,-555.69,-0.4678,65
