entry_time,exit_time,direction,entry_price,exit_price,stop_loss,peak_profit,pnl,exit_reason,month
2025-12-11 10:05:00+05:30,2025-12-11 10:55:00+05:30,long,25771.55078125,25794.349609375,25752.831693803175,61.25,22.8,TRAILING_PROFIT,2025-12
2025-12-15 13:05:00+05:30,2025-12-15 15:20:00+05:30,long,26030.44921875,26023.75,25965.373095703126,11.650390625,-6.7,EOD_EXIT,2025-12
2025-12-18 09:40:00+05:30,2025-12-18 10:15:00+05:30,short,25745.099609375,25823.400390625,25809.462358398436,4.349609375,-78.3,STOP_LOSS,2025-12
2025-12-22 09:55:00+05:30,2025-12-22 15:20:00+05:30,long,26132.80078125,26167.44921875,26130.751563083544,43.8984375,34.65,EOD_EXIT,2025-12
2025-12-26 09:40:00+05:30,2025-12-26 15:20:00+05:30,short,26086.5,26043.400390625,26088.168270014346,73.75,43.1,EOD_EXIT,2025-12
2025-12-29 11:15:00+05:30,2025-12-29 15:20:00+05:30,short,25974.94921875,25950.900390625,25980.267039209906,47.6484375,24.05,EOD_EXIT,2025-12
2025-12-30 12:00:00+05:30,2025-12-30 15:20:00+05:30,short,25891.849609375,25947.900390625,25956.57923339844,7.048828125,-56.05,EOD_EXIT,2025-12
2026-01-07 13:20:00+05:30,2026-01-07 15:20:00+05:30,short,26089.80078125,26137.44921875,26155.025283203126,18.701171875,-47.65,EOD_EXIT,2026-01
2026-01-12 12:20:00+05:30,2026-01-12 15:20:00+05:30,long,25644.849609375,25797.25,25626.079344678375,165.599609375,152.4,EOD_EXIT,2026-01
2026-01-16 10:15:00+05:30,2026-01-16 12:25:00+05:30,long,25836.75,25752.099609375,25772.158125,28.5,-84.65,STOP_LOSS,2026-01
2026-01-20 10:55:00+05:30,2026-01-20 15:20:00+05:30,short,25466.19921875,25180.55078125,25467.30928623231,285.6484375,285.65,EOD_EXIT,2026-01
2026-01-21 12:35:00+05:30,2026-01-21 13:10:00+05:30,long,25226.650390625,25237.44921875,25169.953242725718,60.5,10.8,TRAILING_PROFIT,2026-01
2026-01-23 12:10:00+05:30,2026-01-23 15:20:00+05:30,short,25185.19921875,25048.0,25185.54114282034,155.25,137.2,EOD_EXIT,2026-01
2026-01-28 10:20:00+05:30,2026-01-28 11:40:00+05:30,long,25274.849609375,25292.5,25265.90977177759,63.05078125,17.65,TRAILING_PROFIT,2026-01
2026-02-03 10:15:00+05:30,2026-02-03 10:45:00+05:30,long,25753.349609375,25763.69921875,25688.966235351563,60.650390625,10.35,TRAILING_PROFIT,2026-02
2026-02-05 09:40:00+05:30,2026-02-05 15:00:00+05:30,short,25635.150390625,25665.25,25648.221402477364,40.75,-30.1,STOP_LOSS,2026-02
2026-02-09 09:45:00+05:30,2026-02-09 15:20:00+05:30,long,25812.0,25864.0,25810.427343679497,58.25,52.0,EOD_EXIT,2026-02
2026-02-12 11:15:00+05:30,2026-02-12 15:00:00+05:30,short,25840.099609375,25823.94921875,25857.27731910859,81.099609375,16.15,TRAILING_PROFIT,2026-02
2026-02-16 09:40:00+05:30,2026-02-16 10:00:00+05:30,short,25460.75,25527.150390625,25524.401875,5.69921875,-66.4,STOP_LOSS,2026-02
2026-02-17 11:35:00+05:30,2026-02-17 15:20:00+05:30,long,25730.55078125,25724.55078125,25666.224404296874,28.8984375,-6.0,EOD_EXIT,2026-02
2026-02-19 10:35:00+05:30,2026-02-19 15:20:00+05:30,short,25716.400390625,25404.44921875,25727.63795828469,311.951171875,311.95,EOD_EXIT,2026-02
2026-02-20 10:35:00+05:30,2026-02-20 12:40:00+05:30,long,25578.400390625,25606.80078125,25574.29937099453,75.048828125,28.4,TRAILING_PROFIT,2026-02
2026-02-25 10:00:00+05:30,2026-02-25 12:30:00+05:30,long,25618.19921875,25536.19921875,25554.153720703125,25.1015625,-82.0,STOP_LOSS,2026-02
2026-02-26 12:15:00+05:30,2026-02-26 14:40:00+05:30,short,25447.400390625,25513.0,25493.828534930515,32.599609375,-65.6,STOP_LOSS,2026-02
2026-03-02 10:05:00+05:30,2026-03-02 10:55:00+05:30,short,24884.650390625,24855.150390625,24938.889279915362,70.951171875,29.5,TRAILING_PROFIT,2026-03
