direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
short,B,2026-04-09 09:40:00+05:30,2026-04-09 10:00:00+05:30,23861.150390625,23816.1748046875,23897.505076161062,23816.1748046875,23075.22,True,44.98,100.6,21.9,TRAIL_SL,755,759,TP=23075 RR=21.62 space=801pts opp_str=72 no_align
short,B,2026-04-09 10:00:00+05:30,2026-04-09 10:15:00+05:30,23817.400390625,23854.189940794015,23854.189940794015,23854.189940794015,23075.22,False,-36.79,10.0,53.3,STOP_LOSS,759,762,TP=23075 RR=20.17 space=757pts opp_str=72 no_align
long,B,2026-04-10 09:45:00+05:30,2026-04-10 10:40:00+05:30,23974.349609375,24004.974609375,23920.9844879379,24004.974609375,24134.444973686295,False,30.62,61.25,58.05,STOP_LOSS,831,842,TP=24134 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-04-13 09:35:00+05:30,2026-04-13 09:50:00+05:30,23592.849609375,23639.138645385516,23639.138645385516,23639.138645385516,23075.22,False,-46.29,4.5,64.2,STOP_LOSS,904,907,TP=23075 RR=11.18 space=533pts opp_str=72 no_align
long,B,2026-04-15 09:40:00+05:30,2026-04-15 10:50:00+05:30,24207.349609375,24240.25,24134.433103342522,24240.25,24426.099127472437,True,32.9,65.8,20.65,TRAIL_SL,980,994,TP=24426 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-04-16 11:55:00+05:30,2026-04-16 13:45:00+05:30,24197.19921875,24147.44921875,24218.83303859473,24147.44921875,23075.22,True,49.75,94.1,0.6,TRAIL_SL,1082,1104,TP=23075 RR=51.86 space=1137pts opp_str=72 no_align
short,B,2026-04-22 09:35:00+05:30,2026-04-22 10:35:00+05:30,24438.69921875,24396.19921875,24465.623456790683,24396.19921875,24284.92,False,42.5,85.0,2.15,STOP_LOSS,1284,1296,TP=24285 RR=5.71 space=169pts opp_str=66 no_align
short,B,2026-04-24 09:35:00+05:30,2026-04-24 10:00:00+05:30,24002.44921875,23973.6494140625,24028.443586694237,23973.6494140625,23920.07,False,28.8,57.6,3.95,STOP_LOSS,1434,1439,TP=23920 RR=3.17 space=97pts opp_str=68 no_align
short,B,2026-04-30 09:55:00+05:30,2026-04-30 10:35:00+05:30,23880.19921875,23840.5244140625,23911.005483731147,23840.5244140625,23075.22,False,39.67,79.35,0.0,STOP_LOSS,1738,1746,TP=23075 RR=26.13 space=820pts opp_str=61 SUP@23905(str=68)
long,B,2026-05-07 09:40:00+05:30,2026-05-07 09:50:00+05:30,24397.349609375,24351.69666650058,24351.69666650058,24351.69666650058,24534.308437998265,False,-45.65,4.05,71.7,STOP_LOSS,2035,2037,TP=24534 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-05-13 09:35:00+05:30,2026-05-13 09:50:00+05:30,23276.5,23317.297018735182,23317.297018735182,23317.297018735182,22842.75,False,-40.8,12.05,95.95,STOP_LOSS,2334,2337,TP=22843 RR=10.63 space=449pts opp_str=63 no_align
short,B,2026-05-15 14:45:00+05:30,2026-05-15 14:55:00+05:30,23626.05078125,23646.752365956607,23646.752365956607,23646.752365956607,22842.75,False,-20.7,15.25,32.1,STOP_LOSS,2546,2548,TP=22843 RR=37.84 space=798pts opp_str=63 no_align
short,B,2026-05-18 09:45:00+05:30,2026-05-18 10:15:00+05:30,23342.400390625,23378.117113745182,23378.117113745182,23378.117113745182,23235.25022126445,False,-35.72,24.85,47.05,STOP_LOSS,2561,2567,TP=23235 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@23369(str=69)
short,B,2026-06-03 09:50:00+05:30,2026-06-03 10:00:00+05:30,23244.0,23276.604624989817,23276.604624989817,23276.604624989817,22751.95,False,-32.6,18.35,37.25,STOP_LOSS,3387,3389,TP=22752 RR=15.09 space=507pts opp_str=64 no_align
short,B,2026-06-04 09:35:00+05:30,2026-06-04 09:40:00+05:30,23321.44921875,23352.66468936911,23352.66468936911,23352.66468936911,22751.95,False,-31.22,13.65,35.45,STOP_LOSS,3459,3460,TP=22752 RR=18.24 space=584pts opp_str=64 no_align
short,B,2026-06-05 13:10:00+05:30,2026-06-05 13:35:00+05:30,23337.5,23314.900390625,23355.502266206142,23314.900390625,22751.95,False,22.6,45.2,23.3,STOP_LOSS,3577,3582,TP=22752 RR=32.53 space=601pts opp_str=64 SUP@23369(str=76)
short,B,2026-06-08 09:35:00+05:30,2026-06-08 09:55:00+05:30,23155.599609375,23194.982201343835,23194.982201343835,23194.982201343835,22751.95,False,-39.38,30.35,46.15,STOP_LOSS,3609,3613,TP=22752 RR=10.25 space=419pts opp_str=64 no_align
long,B,2026-06-18 09:45:00+05:30,2026-06-18 10:35:00+05:30,24126.69921875,24098.040617107814,24098.040617107814,24098.040617107814,24212.675023676562,False,-28.66,12.7,48.85,STOP_LOSS,4211,4221,TP=24213 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
