direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
long,2015-10-06 14:50:00+05:30,2015-10-06 15:15:00+05:30,8158.75,8149.9,8147.309781079101,8147.309781079101,False,-8.85,4.2,13.5,SOFT_EOD_EXIT,25,-8.85,0.2,0.19469,0.0006,-10.53,-1.7489,1.5273,-0.702,0.0,-2.4509,-2.4509,-159.31,50.0,-209.31,3.4917,65
long,2015-10-12 10:20:00+05:30,2015-10-12 11:25:00+05:30,8203.5,8187.7486376010565,8187.7486376010565,8187.7486376010565,False,-15.75,5.05,20.35,STOP_LOSS,65,-15.7514,0.2,0.190549,0.0006,-10.53,-3.0833,4.8381,-1.8252,0.0,-4.9085,-4.9085,-319.05,50.0,-369.05,9.0044,65
short,2015-10-13 09:45:00+05:30,2015-10-13 12:25:00+05:30,8129.55,8138.792711992175,8138.792711992175,8138.792711992175,False,-9.24,19.9,11.1,STOP_LOSS,160,9.2427,-0.2,-0.194454,0.0006,-10.53,-1.8255,1.6658,-4.4928,0.0,-6.3183,-6.3183,-410.69,50.0,-460.69,-21.7541,65
long,2015-10-19 09:30:00+05:30,2015-10-19 13:20:00+05:30,8246.2,8274.38300821858,8234.185960909408,8274.38300821858,True,28.18,33.55,6.1,TRAIL_SL,230,28.183,0.2,0.21691,0.0006,-10.53,5.8511,15.4885,-6.4584,0.0,-0.6073,-0.6073,-39.48,50.0,-89.48,30.8632,65
short,2015-10-20 14:45:00+05:30,2015-10-20 14:50:00+05:30,8249.55,8256.377989501836,8256.377989501836,8256.377989501836,False,-6.83,0.25,10.0,STOP_LOSS,5,6.828,-0.2,-0.195903,0.0006,-10.53,-1.353,0.9091,-0.1404,0.0,-1.4934,-1.4934,-97.07,50.0,-147.07,-0.7013,65
long,2015-10-23 10:05:00+05:30,2015-10-23 13:05:00+05:30,8305.1,8293.489971696881,8293.489971696881,8293.489971696881,False,-11.61,9.05,15.55,STOP_LOSS,180,-11.61,0.2,0.193034,0.0006,-10.53,-2.2856,2.6285,-5.0544,0.0,-7.34,-7.34,-477.1,50.0,-527.1,24.3804,65
short,2015-10-28 09:45:00+05:30,2015-10-28 13:30:00+05:30,8205.4,8159.256701458783,8212.614018076833,8159.256701458783,True,46.14,53.05,3.65,TRAIL_SL,225,-46.1433,-0.2,-0.227686,0.0006,-10.53,9.8035,41.5195,-6.318,0.0,3.4855,3.4855,226.56,50.0,176.56,-30.2201,65
short,2015-10-28 14:55:00+05:30,2015-10-28 15:00:00+05:30,8148.05,8153.501533298774,8153.501533298774,8153.501533298774,False,-5.45,0.2,12.05,STOP_LOSS,5,5.4515,-0.2,-0.196729,0.0006,-10.53,-1.0823,0.5795,-0.1404,0.0,-1.2227,-1.2227,-79.47,50.0,-129.47,-0.7013,65
long,2015-11-04 09:50:00+05:30,2015-11-04 13:50:00+05:30,8088.95,8075.72029375728,8075.72029375728,8075.72029375728,False,-13.23,5.45,25.1,STOP_LOSS,240,-13.2297,0.2,0.192062,0.0006,-10.53,-2.5987,3.413,-6.7392,0.0,-9.3379,-9.3379,-606.96,50.0,-656.96,32.146,65
short,2015-11-06 09:40:00+05:30,2015-11-06 10:30:00+05:30,7967.85,7940.976157843158,7978.696756315617,7940.976157843158,True,26.87,40.55,4.5,TRAIL_SL,50,-26.8738,-0.2,-0.216124,0.0006,-10.53,5.5698,14.083,-1.404,0.0,4.1658,4.1658,270.77,50.0,220.77,-6.9476,65
