datetime,Open,High,Low,Close,Volume
06-12-2024 09:15,24729.45,24742.9,24682.95,24705.65,0
06-12-2024 09:30,24705.25,24726.9,24685.75,24725.7,0
06-12-2024 09:45,24724.25,24728.95,24666.5,24687.25,0
06-12-2024 10:00,24688.05,24751.05,24625.25,24650.85,0
06-12-2024 10:15,24650,24734.7,24620.5,24721.15,0
06-12-2024 10:30,24722.55,24728.35,24686.75,24724.3,0
06-12-2024 10:45,24725.25,24725.25,24697,24712.3,0
06-12-2024 11:00,24712.25,24748,24702.15,24707.35,0
06-12-2024 11:15,24708.5,24709.75,24667.95,24678.4,0
06-12-2024 11:30,24678.7,24693.5,24675.3,24687.85,0
06-12-2024 11:45,24688.35,24706.9,24668.15,24706.3,0
06-12-2024 12:00,24706.8,24716.55,24696.5,24701.9,0
06-12-2024 12:15,24701.6,24711.85,24681.7,24710.8,0
06-12-2024 12:30,24710.75,24716.7,24702.6,24710.8,0
06-12-2024 12:45,24711.7,24722.95,24704.7,24709.5,0
06-12-2024 13:00,24709.4,24715.6,24697.2,24708.05,0
06-12-2024 13:15,24707.65,24715.15,24681.65,24684.5,0
06-12-2024 13:30,24683.85,24702.3,24669.3,24686.95,0
06-12-2024 13:45,24687.85,24699,24674.75,24683.1,0
06-12-2024 14:00,24682.1,24696.2,24676.35,24692.85,0
06-12-2024 14:15,24691.9,24699.05,24677.45,24677.75,0
06-12-2024 14:30,24676.8,24689.65,24659.8,24680.05,0
06-12-2024 14:45,24679.45,24693.35,24671.15,24677.95,0
06-12-2024 15:00,24677.25,24695.4,24658.25,24685.9,0
06-12-2024 15:15,24686.5,24692.6,24661.55,24669,0
09-12-2024 09:15,24633.9,24705,24621.85,24662.75,0
09-12-2024 09:30,24664,24687.35,24629.9,24644.45,0
09-12-2024 09:45,24643.85,24671.65,24609.65,24629.35,0
09-12-2024 10:00,24628.45,24629.8,24584.9,24584.9,0
09-12-2024 10:15,24585.95,24619.2,24580.05,24611.95,0
09-12-2024 10:30,24611.8,24620.55,24589.05,24604.7,0
09-12-2024 10:45,24604.4,24646.05,24600.55,24614.8,0
09-12-2024 11:00,24615,24637,24608.15,24636.05,0
09-12-2024 11:15,24635.65,24676.2,24630.25,24670.9,0
09-12-2024 11:30,24671.2,24687.75,24662.8,24687,0
09-12-2024 11:45,24687.4,24689.4,24670.1,24677.35,0
09-12-2024 12:00,24677.2,24680.65,24650.15,24659.2,0
09-12-2024 12:15,24659.1,24670.55,24652.85,24661.8,0
09-12-2024 12:30,24661.85,24661.85,24618.45,24630.25,0
09-12-2024 12:45,24630.65,24646.5,24623.25,24639.55,0
09-12-2024 13:00,24639.4,24650.45,24620.25,24650.45,0
09-12-2024 13:15,24650.8,24663,24633.5,24636,0
09-12-2024 13:30,24636.6,24645.05,24626.9,24640.7,0
09-12-2024 13:45,24641.2,24645,24622.4,24627.4,0
09-12-2024 14:00,24627.35,24633.75,24606.1,24615.5,0
09-12-2024 14:15,24615.7,24619.65,24595.1,24600.3,0
09-12-2024 14:30,24600.4,24628.8,24596.5,24623.6,0
09-12-2024 14:45,24624.1,24645.25,24617.95,24629.05,0
09-12-2024 15:00,24629.5,24635.7,24604.9,24609.35,0
09-12-2024 15:15,24609.6,24635.25,24607.8,24626.6,0
10-12-2024 09:15,24652.65,24655.2,24593.25,24596,0
10-12-2024 09:30,24596,24650.35,24596,24644.7,0
10-12-2024 09:45,24645,24674.25,24636.05,24668.95,0
10-12-2024 10:00,24669.9,24677.8,24640.2,24656.7,0
10-12-2024 10:15,24656.35,24665.65,24637.2,24653.9,0
10-12-2024 10:30,24653.9,24656.45,24614.5,24625.65,0
10-12-2024 10:45,24625.6,24640.8,24623.75,24639.3,0
10-12-2024 11:00,24639.5,24651.5,24627.05,24651.4,0
10-12-2024 11:15,24651.6,24653.1,24640.8,24648.45,0
10-12-2024 11:30,24647.65,24658.6,24645.05,24654.65,0
10-12-2024 11:45,24655.35,24655.75,24623.05,24627.4,0
10-12-2024 12:00,24627.85,24647.55,24618.85,24620.8,0
10-12-2024 12:15,24620.9,24621,24568.55,24591.45,0
10-12-2024 12:30,24592.4,24594.15,24534.3,24554.85,0
10-12-2024 12:45,24555.2,24570.15,24547.45,24566.2,0
10-12-2024 13:00,24566.05,24576.9,24545.85,24551.05,0
10-12-2024 13:15,24551.5,24556.25,24525.95,24543,0
10-12-2024 13:30,24542.85,24569.95,24530.85,24531.65,0
10-12-2024 13:45,24532.35,24541.25,24510.65,24538.5,0
10-12-2024 14:00,24538.9,24549.2,24522.85,24540.45,0
10-12-2024 14:15,24541.25,24562.55,24527.3,24561.15,0
10-12-2024 14:30,24563.15,24563.15,24524.8,24542.7,0
10-12-2024 14:45,24542.85,24565,24538.8,24553.85,0
10-12-2024 15:00,24555.55,24622.05,24554.25,24612,0
10-12-2024 15:15,24612.45,24628.7,24606.5,24620.5,0
11-12-2024 09:15,24620.5,24641.2,24597.6,24623.6,0
11-12-2024 09:30,24622.45,24649,24614.3,24617.55,0
11-12-2024 09:45,24618.2,24643.55,24583.85,24641.15,0
11-12-2024 10:00,24640.3,24642.4,24613.55,24629.15,0
11-12-2024 10:15,24629.35,24666.65,24600.85,24653.2,0
11-12-2024 10:30,24653.05,24672.6,24636.95,24666.15,0
11-12-2024 10:45,24665.75,24677,24653.9,24654.85,0
11-12-2024 11:00,24654.4,24665.95,24648.5,24653.05,0
11-12-2024 11:15,24653.4,24666.25,24645.8,24658.15,0
11-12-2024 11:30,24656.25,24691.75,24651.2,24681.8,0
11-12-2024 11:45,24681.85,24685,24665.6,24671.25,0
11-12-2024 12:00,24671.95,24686.55,24658.05,24661.75,0
11-12-2024 12:15,24661.25,24672.15,24643.1,24653.4,0
11-12-2024 12:30,24653.25,24664,24626.1,24640.75,0
11-12-2024 12:45,24639.75,24645.95,24629.2,24636.2,0
