entry_type,direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
pullback,short,2026-01-29 10:20:00+05:30,2026-01-29 11:05:00+05:30,25213.30078125,25240.264102866673,25240.264102866673,25240.264102866673,False,-26.96,37.65,38.8,STOP_LOSS,45,26.9633,-0.2,-0.183822,0.0006,-5.53,-5.1964,14.1769,-0.6636,0.0,-5.86,-5.86,-380.9,50.0,-430.9,-3.3016,65
pullback,short,2026-01-30 09:45:00+05:30,2026-01-30 13:55:00+05:30,25305.55078125,25336.399134592117,25336.399134592117,25336.399134592117,False,-30.85,91.75,38.75,STOP_LOSS,250,30.8484,-0.2,-0.181491,0.0006,-5.53,-5.9127,18.5566,-3.6867,0.0,-9.5994,-9.5994,-623.96,50.0,-673.96,-17.95,65
breakout,long,2026-01-30 14:20:00+05:30,2026-01-30 14:40:00+05:30,25346.75,25318.751871837118,25318.751871837118,25318.751871837118,False,-28.0,3.55,42.8,STOP_LOSS,20,-27.9981,0.2,0.183201,0.0006,-5.53,-5.388,15.286,-0.2949,0.0,-5.6829,-5.6829,-369.39,50.0,-419.39,1.4714,65
breakout,long,2026-02-03 09:30:00+05:30,2026-02-03 10:45:00+05:30,25755.150390625,25780.222600347013,25613.834607690325,25780.222600347013,True,25.07,66.5,112.8,TRAIL_SL,75,25.0722,0.2,0.215043,0.0006,-5.53,5.1842,12.258,-1.106,0.0,4.0782,4.0782,265.08,50.0,215.08,5.4849,65
pullback,long,2026-02-03 10:45:00+05:30,2026-02-03 11:45:00+05:30,25763.69921875,25836.36971080035,25701.998120882403,25836.36971080035,True,72.67,99.45,17.0,TRAIL_SL,60,72.6705,0.2,0.243602,0.0006,-5.53,15.96,102.9795,-0.8848,0.0,15.0752,15.0752,979.89,50.0,929.89,4.395,65
pullback,long,2026-02-03 12:05:00+05:30,2026-02-03 12:25:00+05:30,25828.25,25794.991930410477,25794.991930410477,25794.991930410477,False,-33.26,15.1,47.4,STOP_LOSS,20,-33.2581,0.2,0.180045,0.0006,-5.53,-6.353,21.5689,-0.2949,0.0,-6.6479,-6.6479,-432.11,50.0,-482.11,1.4714,65
breakout,long,2026-02-04 09:45:00+05:30,2026-02-04 10:30:00+05:30,25786.44921875,25735.077522052576,25735.077522052576,25735.077522052576,False,-51.37,15.35,62.9,STOP_LOSS,45,-51.3717,0.2,0.169177,0.0006,-5.53,-9.5618,51.4615,-0.6636,0.0,-10.2254,-10.2254,-664.65,50.0,-714.65,3.3016,65
breakout,short,2026-02-04 11:20:00+05:30,2026-02-04 11:40:00+05:30,25698.05078125,25716.516341129533,25716.516341129533,25716.516341129533,False,-18.47,12.1,25.85,STOP_LOSS,20,18.4656,-0.2,-0.188921,0.0006,-5.53,-3.601,6.649,-0.2949,0.0,-3.896,-3.896,-253.24,50.0,-303.24,-1.4714,65
breakout,short,2026-02-05 09:40:00+05:30,2026-02-05 10:10:00+05:30,25635.150390625,25659.912420071912,25659.912420071912,25659.912420071912,False,-24.76,22.05,41.55,STOP_LOSS,30,24.762,-0.2,-0.185143,0.0006,-5.53,-4.7869,11.9566,-0.4424,0.0,-5.2293,-5.2293,-339.9,50.0,-389.9,-2.2047,65
pullback,short,2026-02-05 10:25:00+05:30,2026-02-05 15:10:00+05:30,25669.55078125,25647.80078125,25690.493905139367,25690.493905139367,False,21.75,88.95,10.65,SOFT_EOD_EXIT,285,-21.75,-0.2,-0.21305,0.0006,-5.53,4.4777,9.2247,-4.2028,0.0,0.2749,0.2749,17.87,50.0,-32.13,-20.3904,65
breakout,short,2026-02-06 09:45:00+05:30,2026-02-06 11:20:00+05:30,25569.0,25591.199090848862,25591.199090848862,25591.199090848862,False,-22.2,76.85,28.55,STOP_LOSS,95,22.1991,-0.2,-0.186681,0.0006,-5.53,-4.3068,9.6096,-1.4009,0.0,-5.7077,-5.7077,-371.0,50.0,-421.0,-6.9326,65
breakout,long,2026-02-09 09:30:00+05:30,2026-02-09 11:30:00+05:30,25802.19921875,25854.48805137175,25750.92507322366,25854.48805137175,True,52.29,67.85,20.65,TRAIL_SL,120,52.2888,0.2,0.231373,0.0006,-5.53,11.196,53.3154,-1.7696,0.0,9.4264,9.4264,612.71,50.0,562.71,8.7336,65
breakout,long,2026-02-10 09:40:00+05:30,2026-02-10 13:30:00+05:30,25949.400390625,25925.859701622834,25925.859701622834,25925.859701622834,False,-23.54,39.8,40.55,STOP_LOSS,230,-23.5407,0.2,0.185876,0.0006,-5.53,-4.5585,10.8062,-3.3917,0.0,-7.9502,-7.9502,-516.77,50.0,-566.77,16.5479,65
