direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
long,C,2015-01-27 09:30:00+05:30,2015-01-27 11:50:00+05:30,8846.55,8829.5,8830.349078917518,8830.349078917518,False,-17.05,14.6,17.8,12.85,STOP_LOSS,140,2H:20M,-17.05,0.2,0.18636,0.0008,0.0,6.0,,,0.0,-3.3053,0.0,8.7211,0.0,0.0,-3.3053,-3.3053,-247.9,50.0,-297.9,0.0
long,C,2015-01-28 09:30:00+05:30,2015-01-28 09:40:00+05:30,8915.8,8889.95,8902.284266394556,8902.284266394556,False,-25.85,1.95,25.85,0.0,STOP_LOSS,10,0H:10M,-25.85,0.2,0.17932,0.0008,0.0,6.0,,,0.0,-4.9294,0.0,20.0467,0.0,0.0,-4.9294,-4.9294,-369.71,50.0,-419.71,0.0
long,C,2015-01-28 11:05:00+05:30,2015-01-28 12:35:00+05:30,8929.3,8958.55,8920.009852034917,8978.643827624595,True,29.25,55.75,6.9,54.5,TRAIL_SL,90,1H:30M,29.25,0.2,0.2234,0.0008,0.0,6.0,,,0.0,6.158,0.0,25.6669,0.0,0.0,6.158,6.158,461.85,50.0,411.85,0.0
long,A,2015-01-28 12:35:00+05:30,2015-01-28 12:40:00+05:30,8958.55,8944.1,8945.100634549299,8945.100634549299,False,-14.45,0.25,30.85,0.0,STOP_LOSS,5,0H:05M,-14.45,0.2,0.18844,0.0008,0.0,6.0,,,0.0,-2.8148,0.0,6.2641,0.0,0.0,-2.8148,-2.8148,-211.11,50.0,-261.11,0.0
short,C,2015-01-28 13:25:00+05:30,2015-01-28 14:30:00+05:30,8912.35,8891.9,8923.72704822432,8890.866924204398,True,20.45,32.05,12.5,30.1,TRAIL_SL,65,1H:05M,-20.45,-0.2,-0.21636,0.0008,0.0,6.0,,,0.0,4.2406,0.0,12.5461,0.0,0.0,4.2406,4.2406,318.04,50.0,268.04,0.0
short,C,2015-01-29 09:30:00+05:30,2015-01-29 09:45:00+05:30,8862.65,8877.45,8873.120718948388,8873.120718948388,False,-14.8,1.0,15.25,0.0,STOP_LOSS,15,0H:15M,14.8,-0.2,-0.18816,0.0008,0.0,6.0,,,0.0,-2.8811,0.0,6.5712,0.0,0.0,-2.8811,-2.8811,-216.09,50.0,-266.09,0.0
short,B,2015-01-29 10:00:00+05:30,2015-01-29 10:35:00+05:30,8879.4,8889.9,8887.380958446665,8887.380958446665,False,-10.5,10.6,11.5,6.1,STOP_LOSS,35,0H:35M,10.5,-0.2,-0.1916,0.0008,0.0,6.0,,,0.0,-2.0603,0.0,3.3075,0.0,0.0,-2.0603,-2.0603,-154.52,50.0,-204.52,0.0
short,C,2015-01-29 11:15:00+05:30,2015-01-29 11:40:00+05:30,8870.35,8877.55,8875.487819795822,8875.487819795822,False,-7.2,6.95,10.05,2.65,STOP_LOSS,25,0H:25M,7.2,-0.2,-0.19424,0.0008,0.0,6.0,,,0.0,-1.4213,0.0,1.5552,0.0,0.0,-1.4213,-1.4213,-106.6,50.0,-156.6,0.0
long,A,2015-01-30 09:30:00+05:30,2015-01-30 09:45:00+05:30,8949.75,8923.5,8927.517361607292,8927.517361607292,False,-26.25,0.85,26.25,0.0,STOP_LOSS,15,0H:15M,-26.25,0.2,0.179,0.0008,0.0,6.0,,,0.0,-5.0019,0.0,20.6719,0.0,0.0,-5.0019,-5.0019,-375.15,50.0,-425.15,0.0
long,A,2015-01-30 10:00:00+05:30,2015-01-30 10:50:00+05:30,8932.85,8912.8,8913.980886464293,8913.980886464293,False,-20.05,5.15,22.45,1.9,STOP_LOSS,50,0H:50M,-20.05,0.2,0.18396,0.0008,0.0,6.0,,,0.0,-3.8653,0.0,12.0601,0.0,0.0,-3.8653,-3.8653,-289.9,50.0,-339.9,0.0
short,C,2015-01-30 11:00:00+05:30,2015-01-30 11:20:00+05:30,8904.9,8880.7,8914.044611493682,8877.101028773093,True,24.2,44.85,0.3,36.8,TRAIL_SL,20,0H:20M,-24.2,-0.2,-0.21936,0.0008,0.0,6.0,,,0.0,5.0508,0.0,17.5692,0.0,0.0,5.0508,5.0508,378.81,50.0,328.81,0.0
short,C,2015-01-30 12:00:00+05:30,2015-01-30 12:20:00+05:30,8838.2,8854.95,8850.744822272849,8850.744822272849,False,-16.75,9.05,20.05,5.2,STOP_LOSS,20,0H:20M,16.75,-0.2,-0.1866,0.0008,0.0,6.0,,,0.0,-3.249,0.0,8.4169,0.0,0.0,-3.249,-3.249,-243.67,50.0,-293.67,0.0
short,C,2015-02-02 09:30:00+05:30,2015-02-02 09:50:00+05:30,8780.55,8795.45,8794.934172088304,8794.934172088304,False,-14.9,7.75,15.05,6.2,STOP_LOSS,20,0H:20M,14.9,-0.2,-0.18808,0.0008,0.0,6.0,,,0.0,-2.9001,0.0,6.6603,0.0,0.0,-2.9001,-2.9001,-217.51,50.0,-267.51,0.0
short,B,2015-02-02 10:00:00+05:30,2015-02-02 12:10:00+05:30,8792.75,8768.5,8804.719720368143,8763.262118967019,True,24.25,41.3,12.5,35.2,TRAIL_SL,130,2H:10M,-24.25,-0.2,-0.2194,0.0008,0.0,6.0,,,0.0,5.0617,0.0,17.6419,0.0,0.0,5.0617,5.0617,379.63,50.0,329.63,0.0
short,B,2015-02-02 12:10:00+05:30,2015-02-02 13:25:00+05:30,8768.5,8778.9,8776.038128880937,8776.038128880937,False,-10.4,15.65,10.4,11.95,STOP_LOSS,75,1H:15M,10.4,-0.2,-0.19168,0.0008,0.0,6.0,,,0.0,-2.0411,0.0,3.2448,0.0,0.0,-2.0411,-2.0411,-153.08,50.0,-203.08,0.0
long,C,2015-02-03 09:30:00+05:30,2015-02-03 09:55:00+05:30,8823.4,8802.95,8806.171836056934,8806.171836056934,False,-20.45,6.05,20.45,1.5,STOP_LOSS,25,0H:25M,-20.45,0.2,0.18364,0.0008,0.0,6.0,,,0.0,-3.9394,0.0,12.5461,0.0,0.0,-3.9394,-3.9394,-295.46,50.0,-345.46,0.0
long,C,2015-02-03 11:15:00+05:30,2015-02-03 11:30:00+05:30,8824.0,8799.3,8802.42100302313,8802.42100302313,False,-24.7,1.05,29.45,0.0,STOP_LOSS,15,0H:15M,-24.7,0.2,0.18024,0.0008,0.0,6.0,,,0.0,-4.7204,0.0,18.3027,0.0,0.0,-4.7204,-4.7204,-354.03,50.0,-404.03,0.0
short,C,2015-02-03 11:45:00+05:30,2015-02-03 13:20:00+05:30,8759.0,8738.35,8772.402579416128,8738.271538681725,True,20.65,32.35,0.05,27.7,TRAIL_SL,95,1H:35M,-20.65,-0.2,-0.21652,0.0008,0.0,6.0,,,0.0,4.2835,0.0,12.7927,0.0,0.0,4.2835,4.2835,321.26,50.0,271.26,0.0
short,B,2015-02-03 13:20:00+05:30,2015-02-03 13:35:00+05:30,8738.35,8748.2,8746.27812240139,8746.27812240139,False,-9.85,3.2,19.75,0.0,STOP_LOSS,15,0H:15M,9.85,-0.2,-0.19212,0.0008,0.0,6.0,,,0.0,-1.9351,0.0,2.9107,0.0,0.0,-1.9351,-1.9351,-145.13,50.0,-195.13,0.0
short,C,2015-02-04 10:15:00+05:30,2015-02-04 11:05:00+05:30,8735.1,8753.25,8746.763734267046,8746.763734267046,False,-18.15,18.35,22.45,13.2,STOP_LOSS,50,0H:50M,18.15,-0.2,-0.18548,0.0008,0.0,6.0,,,0.0,-3.5114,0.0,9.8827,0.0,0.0,-3.5114,-3.5114,-263.36,50.0,-313.36,0.0
short,B,2015-02-05 09:30:00+05:30,2015-02-05 10:00:00+05:30,8736.0,8753.4,8747.221274493464,8747.221274493464,False,-17.4,6.95,17.85,3.35,STOP_LOSS,30,0H:30M,17.4,-0.2,-0.18608,0.0008,0.0,6.0,,,0.0,-3.371,0.0,9.0828,0.0,0.0,-3.371,-3.371,-252.83,50.0,-302.83,0.0
long,C,2015-02-05 13:15:00+05:30,2015-02-05 14:10:00+05:30,8797.55,8824.15,8784.565942367217,8824.416344415285,True,26.6,40.75,10.4,34.45,TRAIL_SL,55,0H:55M,26.6,0.2,0.22128,0.0008,0.0,6.0,,,0.0,5.5747,0.0,21.2268,0.0,0.0,5.5747,5.5747,418.1,50.0,368.1,0.0
short,C,2015-02-06 09:30:00+05:30,2015-02-06 11:00:00+05:30,8707.1,8687.25,8720.566156659135,8678.245036933235,True,19.85,44.0,18.7,37.7,TRAIL_SL,90,1H:30M,-19.85,-0.2,-0.21588,0.0008,0.0,6.0,,,0.0,4.1118,0.0,11.8207,0.0,0.0,4.1118,4.1118,308.39,50.0,258.39,0.0
short,B,2015-02-06 11:00:00+05:30,2015-02-06 11:50:00+05:30,8687.25,8701.2,8698.406705978636,8698.406705978636,False,-13.95,16.25,14.35,13.05,STOP_LOSS,50,0H:50M,13.95,-0.2,-0.18884,0.0008,0.0,6.0,,,0.0,-2.7199,0.0,5.8381,0.0,0.0,-2.7199,-2.7199,-204.0,50.0,-254.0,0.0
short,C,2015-02-09 09:30:00+05:30,2015-02-09 10:10:00+05:30,8581.95,8562.4,8596.732525853191,8561.737340119154,True,19.55,30.0,12.6,30.0,TRAIL_SL,40,0H:40M,-19.55,-0.2,-0.21564,0.0008,0.0,6.0,,,0.0,4.0476,0.0,11.4661,0.0,0.0,4.0476,4.0476,303.57,50.0,253.57,0.0
short,B,2015-02-09 10:20:00+05:30,2015-02-09 12:45:00+05:30,8572.0,8588.45,8584.194414843041,8584.194414843041,False,-16.45,17.85,16.85,15.05,STOP_LOSS,145,2H:25M,16.45,-0.2,-0.18684,0.0008,0.0,6.0,,,0.0,-3.1926,0.0,8.1181,0.0,0.0,-3.1926,-3.1926,-239.44,50.0,-289.44,0.0
long,C,2015-02-10 09:45:00+05:30,2015-02-10 10:00:00+05:30,8611.2,8566.9,8583.681147320083,8583.681147320083,False,-44.3,0.0,52.95,0.0,STOP_LOSS,15,0H:15M,-44.3,0.2,0.16456,0.0008,0.0,6.0,,,0.0,-8.1535,0.0,58.8747,0.0,0.0,-8.1535,-8.1535,-611.51,50.0,-661.51,0.0
long,A,2015-02-10 10:00:00+05:30,2015-02-10 11:35:00+05:30,8566.9,8625.4,8538.371170566583,8631.761110201109,True,58.5,79.25,6.65,73.45,TRAIL_SL,95,1H:35M,58.5,0.2,0.2468,0.0008,0.0,6.0,,,0.0,12.932,0.0,102.6675,0.0,0.0,12.932,12.932,969.9,50.0,919.9,0.0
