entry_time,exit_time,direction,entry_price,exit_price,stop_loss,peak_profit,pnl,exit_reason,month
2024-01-01 09:30:00+05:30,2024-01-01 15:00:00+05:30,long,21706.05,21726.35,21701.039791914925,116.79999999999927,20.3,ST_TOUCH,2024-01
2024-01-08 11:00:00+05:30,2024-01-08 15:15:00+05:30,short,21620.0,21511.35,21623.874985601306,112.70000000000073,108.65,EOD_EXIT,2024-01
2024-01-10 12:15:00+05:30,2024-01-10 14:45:00+05:30,short,21515.5,21605.75,21590.80425,19.650000000001455,-90.25,STOP_LOSS,2024-01
2024-01-16 13:30:00+05:30,2024-01-16 15:15:00+05:30,short,22013.0,22031.6,22090.0455,0.0,-18.6,EOD_EXIT,2024-01
2024-01-19 09:30:00+05:30,2024-01-19 15:15:00+05:30,long,21638.65,21638.2,21562.914725000002,21.799999999999272,-0.45,EOD_EXIT,2024-01
2024-01-23 11:30:00+05:30,2024-01-23 15:15:00+05:30,short,21466.25,21243.05,21467.985712538746,246.25,223.2,EOD_EXIT,2024-01
2024-01-24 10:15:00+05:30,2024-01-24 11:15:00+05:30,long,21383.0,21297.15,21308.1595,0.0,-85.85,STOP_LOSS,2024-01
2024-01-25 10:45:00+05:30,2024-01-25 11:30:00+05:30,short,21258.1,21352.5,21332.50335,0.0,-94.4,STOP_LOSS,2024-01
2024-01-31 09:30:00+05:30,2024-01-31 10:45:00+05:30,short,21576.35,21649.35,21621.152881589485,20.299999999999272,-73.0,STOP_LOSS,2024-01
2024-02-02 13:00:00+05:30,2024-02-02 15:15:00+05:30,short,21846.3,21853.3,21922.762049999998,0.0,-7.0,EOD_EXIT,2024-02
2024-02-06 13:30:00+05:30,2024-02-06 15:15:00+05:30,long,21917.8,21938.8,21841.0877,21.0,21.0,EOD_EXIT,2024-02
2024-02-08 10:45:00+05:30,2024-02-08 15:15:00+05:30,short,21828.6,21759.7,21857.045969044753,157.29999999999927,68.9,EOD_EXIT,2024-02
2024-02-13 13:15:00+05:30,2024-02-13 15:15:00+05:30,long,21711.65,21728.0,21635.659225000003,42.25,16.35,EOD_EXIT,2024-02
2024-02-15 09:30:00+05:30,2024-02-15 15:15:00+05:30,long,21823.85,21927.05,21808.211469019217,127.45000000000073,103.2,EOD_EXIT,2024-02
2024-02-21 09:30:00+05:30,2024-02-21 13:45:00+05:30,long,22232.8,22151.6,22154.9852,8.700000000000728,-81.2,STOP_LOSS,2024-02
2024-02-22 09:30:00+05:30,2024-02-22 13:30:00+05:30,short,22047.15,22016.6,22083.14284219247,148.25,30.55,TRAILING_PROFIT,2024-02
2024-02-23 09:30:00+05:30,2024-02-23 15:15:00+05:30,long,22256.65,22194.25,22178.751725000002,13.299999999999272,-62.4,EOD_EXIT,2024-02
2024-02-26 10:45:00+05:30,2024-02-26 15:15:00+05:30,short,22109.4,22117.15,22186.782900000002,12.700000000000728,-7.75,EOD_EXIT,2024-02
2024-02-27 13:00:00+05:30,2024-02-27 15:15:00+05:30,long,22205.95,22194.2,22128.229175,0.0,-11.75,EOD_EXIT,2024-02
2024-02-28 11:00:00+05:30,2024-02-28 13:30:00+05:30,short,22062.05,22015.1,22098.23124151635,119.54999999999927,46.95,TRAILING_PROFIT,2024-02
2024-03-05 10:15:00+05:30,2024-03-05 12:45:00+05:30,short,22300.4,22402.7,22376.817882398747,11.75,-102.3,STOP_LOSS,2024-03
2024-03-06 10:45:00+05:30,2024-03-06 13:45:00+05:30,short,22281.4,22381.15,22359.3849,33.75,-99.75,STOP_LOSS,2024-03
2024-03-07 09:30:00+05:30,2024-03-07 15:15:00+05:30,long,22473.35,22483.5,22430.247600441533,42.650000000001455,10.15,EOD_EXIT,2024-03
2024-03-11 11:15:00+05:30,2024-03-11 15:15:00+05:30,short,22415.6,22319.85,22432.61338711165,95.75,95.75,EOD_EXIT,2024-03
2024-03-12 12:15:00+05:30,2024-03-12 15:15:00+05:30,long,22382.55,22333.7,22318.277250794443,6.150000000001455,-48.85,EOD_EXIT,2024-03
2024-03-13 10:15:00+05:30,2024-03-13 15:15:00+05:30,short,22287.05,21981.05,22317.113814428096,353.0,306.0,EOD_EXIT,2024-03
2024-03-14 11:45:00+05:30,2024-03-14 15:15:00+05:30,long,22173.6,22153.05,22095.9924,27.600000000002183,-20.55,EOD_EXIT,2024-03
2024-03-15 09:45:00+05:30,2024-03-15 15:15:00+05:30,short,21988.45,21996.35,22065.409575,44.54999999999927,-7.9,EOD_EXIT,2024-03
2024-03-20 11:30:00+05:30,2024-03-20 11:45:00+05:30,long,21844.35,21846.2,21767.894774999997,1.8500000000021828,1.85,ST_TOUCH,2024-03
2024-03-20 13:15:00+05:30,2024-03-20 15:15:00+05:30,long,21909.2,21855.1,21832.5178,0.0,-54.1,EOD_EXIT,2024-03
2024-03-22 11:30:00+05:30,2024-03-22 15:15:00+05:30,long,22087.1,22080.8,22049.633062287863,64.65000000000146,-6.3,EOD_EXIT,2024-03
2024-04-03 12:15:00+05:30,2024-04-03 15:00:00+05:30,long,22483.8,22430.7,22430.81421654027,18.950000000000728,-53.1,STOP_LOSS,2024-04
2024-04-04 10:00:00+05:30,2024-04-04 12:30:00+05:30,short,22373.75,22467.75,22452.058125,10.849999999998545,-94.0,STOP_LOSS,2024-04
2024-04-08 09:30:00+05:30,2024-04-08 15:15:00+05:30,long,22607.0,22661.0,22598.953877793218,88.25,54.0,EOD_EXIT,2024-04
2024-04-10 13:30:00+05:30,2024-04-10 15:15:00+05:30,long,22743.0,22735.05,22684.968862298218,9.0,-7.95,EOD_EXIT,2024-04
2024-04-12 12:15:00+05:30,2024-04-12 15:15:00+05:30,short,22627.2,22519.4,22635.090967140408,111.35000000000218,107.8,EOD_EXIT,2024-04
2024-04-18 13:30:00+05:30,2024-04-18 15:15:00+05:30,short,22094.4,22045.75,22171.7304,128.75,48.65,EOD_EXIT,2024-04
2024-04-22 09:30:00+05:30,2024-04-22 15:15:00+05:30,long,22218.3,22370.5,22206.53278996636,152.20000000000073,152.2,EOD_EXIT,2024-04
2024-04-25 11:00:00+05:30,2024-04-25 15:15:00+05:30,long,22433.15,22559.25,22405.516854228088,168.0,126.1,EOD_EXIT,2024-04
2024-04-26 13:30:00+05:30,2024-04-26 15:15:00+05:30,short,22444.5,22450.2,22520.674907301145,36.25,-5.7,EOD_EXIT,2024-04
2024-04-29 11:00:00+05:30,2024-04-29 15:15:00+05:30,long,22536.85,22633.15,22533.839473871965,116.20000000000073,96.3,EOD_EXIT,2024-04
2024-05-02 09:30:00+05:30,2024-05-02 12:15:00+05:30,short,22657.4,22695.85,22695.345983966552,13.400000000001455,-38.45,STOP_LOSS,2024-05
2024-05-03 10:30:00+05:30,2024-05-03 15:15:00+05:30,short,22616.7,22456.7,22644.43047307314,241.04999999999927,160.0,EOD_EXIT,2024-05
2024-05-07 11:00:00+05:30,2024-05-07 15:15:00+05:30,short,22304.0,22304.5,22372.169757228196,64.29999999999927,-0.5,EOD_EXIT,2024-05
2024-05-09 10:00:00+05:30,2024-05-09 15:15:00+05:30,short,22194.4,21968.15,22217.6900564963,251.40000000000146,226.25,EOD_EXIT,2024-05
2024-05-10 10:00:00+05:30,2024-05-10 10:45:00+05:30,long,22110.1,22027.05,22032.714649999998,0.0,-83.05,STOP_LOSS,2024-05
2024-05-13 13:00:00+05:30,2024-05-13 15:15:00+05:30,long,22029.2,22119.4,21979.139987785326,92.25,90.2,EOD_EXIT,2024-05
2024-05-16 11:00:00+05:30,2024-05-16 12:00:00+05:30,short,22147.1,22289.5,22224.614849999998,7.399999999997817,-142.4,STOP_LOSS,2024-05
2024-05-28 12:30:00+05:30,2024-05-28 15:15:00+05:30,short,22914.35,22868.65,22974.22821387165,45.69999999999709,45.7,EOD_EXIT,2024-05
2024-06-05 11:15:00+05:30,2024-06-05 11:45:00+05:30,long,22426.3,22268.35,22347.80795,0.0,-157.95,STOP_LOSS,2024-06
2024-06-12 09:45:00+05:30,2024-06-12 15:15:00+05:30,long,23404.6,23308.4,23322.6839,31.55000000000291,-96.2,EOD_EXIT,2024-06
2024-06-14 10:15:00+05:30,2024-06-14 15:15:00+05:30,long,23439.3,23454.15,23411.387835312893,32.60000000000218,14.85,EOD_EXIT,2024-06
2024-06-21 12:30:00+05:30,2024-06-21 14:00:00+05:30,short,23460.3,23567.2,23542.41105,7.049999999999272,-106.9,STOP_LOSS,2024-06
