bar_open,bar_close,direction,signal_type,confidence,entry,stop,target_1,target_2,target_3,exit_price,exit_reason,r_multiple,size,t1_hit,t2_hit
47024,47060,long,pullback,0.57,25014.4,24956.0875,25072.7125,25037.7893,30045.9593,25012.1,time_stop,-0.039,18.0,False,False
47061,47073,long,pullback,0.59,25011.25,24959.4853,25063.0147,25038.4387,30046.6087,24959.4853,stop,-1.0,20.0,False,False
47074,47091,short,failure_test,0.76,24952.45,24992.1594,24912.7406,24873.0312,24833.3218,24992.1594,stop,-1.0,25.0,False,False
47097,47133,short,failed_breakout,0.55,24916.15,25023.0485,24809.2515,24902.695,24915.25,24832.05,time_stop,0.787,8.0,False,False
47159,47167,long,failure_test,0.63,24688.65,24723.5962,24723.5962,24758.5424,24793.4886,24723.5962,stop,1.0,28.0,True,True
47168,47172,long,failure_test,0.69,24706.35,24745.374,24745.374,24784.3979,24823.4219,24823.4219,target_3,3.0,26.0,True,True
47173,47187,long,failure_test,0.64,24830.65,24884.5939,24884.5939,24938.5378,24992.4817,24884.5939,stop,1.0,22.0,True,True
47188,47189,short,failure_test,0.67,24878.6,24911.774,24845.426,24812.2519,24779.0779,24911.774,stop,-1.0,37.0,False,False
47198,47202,short,failure_test,0.76,24826.7,24789.874,24789.874,24753.048,24716.222,24716.222,target_3,3.0,32.0,True,True
47203,47216,long,failure_test,0.85,24713.7,24775.2133,24775.2133,24836.7266,24898.2399,24775.2133,stop,1.0,22.0,True,True
47217,47235,short,failure_test,0.64,24776.1,24828.0465,24724.1535,24672.207,24620.2605,24828.0465,stop,-1.0,27.0,False,False
47251,47284,long,failed_breakout,0.55,24606.1,24518.6098,24693.5902,24750.34,24826.9,24518.6098,stop,-1.0,15.0,False,False
47310,47321,long,failed_breakout,0.55,24616.3,24784.2857,24784.2857,24709.43,24692.15,24692.15,target_3,0.452,7.0,True,True
47467,47488,short,failure_test,0.58,24876.2,24876.2,24758.4534,24640.7068,24522.9602,24876.2,stop,0.0,11.0,True,False
47494,47494,long,failure_test,0.94,25022.45,24949.2161,25095.6839,25168.9178,25242.1517,24949.2161,stop,-1.0,18.0,False,False
47514,47520,short,anti,0.6,24830.0,24863.3178,24667.4,24504.8,24342.2,24863.3178,stop,-1.0,37.0,False,False
47671,47685,short,pullback,0.63,24744.3,24779.923,24708.677,24678.6494,19743.1894,24779.923,stop,-1.0,33.0,False,False
47716,47719,long,pullback,0.48,24765.7,24765.7,24773.5493,24891.6498,29870.1698,24765.7,stop,0.0,145.0,True,False
47726,47750,long,failure_test,0.75,24745.3,24765.9067,24765.9067,24786.5134,24807.1201,24765.9067,stop,1.0,55.0,True,True
47751,47754,short,failure_test,0.69,24753.75,24776.9798,24730.5202,24707.2904,24684.0605,24776.9798,stop,-1.0,51.0,False,False
47756,47761,short,failure_test,0.67,24771.85,24751.4023,24751.4023,24730.9547,24710.507,24751.4023,stop,1.0,55.0,True,True
47762,47766,long,failed_breakout,0.45,24760.2,24722.5085,24797.8915,24787.17,24802.35,24722.5085,stop,-1.0,31.0,False,False
47847,47883,short,failed_breakout,0.55,24646.45,24862.5695,24430.3305,24607.205,24636.5,24593.65,time_stop,0.244,5.0,False,False
47884,47920,short,anti,0.6,24593.1,24645.7596,24433.625,24274.15,24114.675,24554.6,time_stop,0.731,21.0,False,False
47921,47925,short,failure_test,0.66,24554.3,24587.3264,24521.2736,24488.2472,24455.2209,24587.3264,stop,-1.0,36.0,False,False
47926,47936,long,failure_test,0.66,24578.7,24578.7,24609.3533,24640.0066,24670.66,24578.7,stop,0.0,36.0,True,False
48007,48010,long,failure_test,0.74,24722.05,24691.4677,24752.6323,24783.2146,24813.7968,24691.4677,stop,-1.0,37.0,False,False
48017,48024,long,failed_breakout,0.5,24735.15,24786.3896,24786.3896,24740.66,24753.2,24753.2,target_3,0.352,20.0,True,True
48025,48027,long,failure_test,0.77,24800.6,24828.6292,24828.6292,24856.6584,24884.6876,24884.6876,target_3,3.0,39.0,True,True
48030,48057,short,failure_test,0.64,24823.9,24768.1007,24768.1007,24712.3014,24656.5021,24768.1007,stop,1.0,22.0,True,True
48063,48069,long,failure_test,0.66,24752.85,24723.1333,24782.5667,24812.2834,24842.0001,24723.1333,stop,-1.0,44.0,False,False
48220,48256,long,failed_breakout,0.65,25114.95,25046.8331,25183.0669,25127.57,25123.1,25133.8,time_stop,0.277,18.0,False,False
48262,48298,long,pb_after_breakout,1.0,25138.8,24747.3463,25530.2537,25196.7547,25225.732,25136.45,time_stop,-0.006,3.0,False,False
48499,48511,short,pullback,0.58,24719.95,24719.95,24681.2832,24473.0048,19578.4048,24719.95,stop,0.0,32.0,True,False
48512,48519,long,failure_test,0.78,24727.95,24759.4355,24759.4355,24790.9211,24822.4066,24759.4355,stop,1.0,40.0,True,True
48725,48734,short,pullback,0.55,24777.05,24820.1221,24733.9779,24762.1278,19809.9978,24820.1221,stop,-1.0,30.0,False,False
48740,48742,short,pullback,0.61,24805.2,24775.8027,24775.8027,24761.7778,19809.6478,24775.8027,stop,1.0,43.0,True,True
48745,48781,long,failure_test,0.73,24827.6,24786.0194,24869.1806,24910.7612,24952.3418,24795.05,time_stop,-0.783,32.0,False,False
