entry_time,exit_time,direction,entry_price,exit_price,stop_loss,peak_profit,pnl,exit_reason
2024-01-01 09:33:00+05:30,2024-01-01 10:11:00+05:30,long,21702.15,21705.1,21647.894625,30.599999999998545,2.95,ST_TOUCH
2024-01-01 10:37:00+05:30,2024-01-01 11:38:00+05:30,long,21719.5,21730.0,21665.20125,26.799999999999272,10.5,ST_TOUCH
2024-01-01 12:14:00+05:30,2024-01-01 12:21:00+05:30,long,21742.5,21723.6,21688.14375,0.0,-18.9,ST_TOUCH
2024-01-01 12:40:00+05:30,2024-01-01 15:02:00+05:30,long,21732.05,21801.9,21677.719875,102.29999999999927,69.85,ST_TOUCH
2024-01-02 09:55:00+05:30,2024-01-02 10:48:00+05:30,short,21698.15,21601.35,21752.395375,138.0500000000029,96.8,ST_TOUCH
2024-01-02 11:15:00+05:30,2024-01-02 11:22:00+05:30,short,21579.6,21605.0,21633.549,7.649999999997817,-25.4,ST_TOUCH
2024-01-02 12:57:00+05:30,2024-01-02 13:31:00+05:30,short,21628.3,21629.45,21682.37075,19.450000000000728,-1.15,ST_TOUCH
2024-01-02 14:19:00+05:30,2024-01-02 14:33:00+05:30,short,21638.8,21661.65,21692.897,0.0,-22.85,ST_TOUCH
2024-01-02 15:03:00+05:30,2024-01-02 15:07:00+05:30,long,21686.1,21654.95,21631.884749999997,5.100000000002183,-31.15,ST_TOUCH
2024-01-03 10:36:00+05:30,2024-01-03 10:40:00+05:30,long,21584.5,21558.2,21530.53875,4.0,-26.3,ST_TOUCH
2024-01-03 11:44:00+05:30,2024-01-03 12:05:00+05:30,long,21574.15,21569.0,21520.214625,14.94999999999709,-5.15,ST_TOUCH
2024-01-03 12:51:00+05:30,2024-01-03 13:57:00+05:30,long,21550.1,21561.7,21496.224749999998,30.600000000002183,11.6,ST_TOUCH
2024-01-03 14:19:00+05:30,2024-01-03 14:52:00+05:30,short,21557.2,21554.7,21611.093,25.100000000002183,2.5,ST_TOUCH
2024-01-03 15:01:00+05:30,2024-01-03 15:20:00+05:30,short,21530.5,21508.45,21584.32625,27.450000000000728,22.05,EOD_EXIT
2024-01-04 11:33:00+05:30,2024-01-04 12:23:00+05:30,short,21642.85,21655.05,21696.957124999997,4.099999999998545,-12.2,ST_TOUCH
2024-01-04 13:35:00+05:30,2024-01-04 13:39:00+05:30,short,21652.45,21668.05,21706.581125,0.0,-15.6,ST_TOUCH
2024-01-04 14:02:00+05:30,2024-01-04 14:31:00+05:30,short,21651.85,21656.05,21705.979625,8.899999999997817,-4.2,ST_TOUCH
2024-01-05 10:43:00+05:30,2024-01-05 11:09:00+05:30,short,21711.65,21700.2,21765.929125000002,39.70000000000073,11.45,ST_TOUCH
2024-01-05 11:18:00+05:30,2024-01-05 12:09:00+05:30,short,21669.2,21695.95,21723.373,0.0,-26.75,ST_TOUCH
2024-01-05 12:43:00+05:30,2024-01-05 13:13:00+05:30,short,21687.05,21699.65,21741.267625,8.5,-12.6,ST_TOUCH
2024-01-05 13:41:00+05:30,2024-01-05 13:58:00+05:30,short,21673.5,21682.4,21727.68375,5.349999999998545,-8.9,ST_TOUCH
2024-01-05 14:04:00+05:30,2024-01-05 14:31:00+05:30,short,21661.8,21661.0,21715.9545,29.0,0.8,ST_TOUCH
2024-01-05 15:18:00+05:30,2024-01-05 15:20:00+05:30,short,21683.15,21699.65,21737.357875,0.0,-16.5,EOD_EXIT
2024-01-08 09:36:00+05:30,2024-01-08 09:56:00+05:30,short,21685.9,21686.9,21740.11475,38.45000000000073,-1.0,ST_TOUCH
2024-01-08 10:42:00+05:30,2024-01-08 11:24:00+05:30,short,21684.15,21629.9,21738.360375,79.55000000000291,54.25,ST_TOUCH
2024-01-08 11:50:00+05:30,2024-01-08 12:15:00+05:30,short,21613.9,21589.45,21667.93475,57.400000000001455,24.45,ST_TOUCH
2024-01-08 12:51:00+05:30,2024-01-08 13:21:00+05:30,short,21583.45,21590.15,21637.408625,14.25,-6.7,ST_TOUCH
2024-01-08 13:43:00+05:30,2024-01-08 13:59:00+05:30,short,21569.3,21585.25,21623.22325,15.649999999997817,-15.95,ST_TOUCH
2024-01-08 14:23:00+05:30,2024-01-08 15:20:00+05:30,short,21561.65,21500.55,21615.554125000002,63.900000000001455,61.1,EOD_EXIT
2024-01-09 10:50:00+05:30,2024-01-09 11:08:00+05:30,short,21691.2,21700.0,21745.428,13.549999999999272,-8.8,ST_TOUCH
2024-01-09 11:19:00+05:30,2024-01-09 11:46:00+05:30,short,21684.7,21706.65,21738.91175,8.700000000000728,-21.95,ST_TOUCH
2024-01-09 12:08:00+05:30,2024-01-09 12:25:00+05:30,short,21689.8,21708.95,21744.0245,3.899999999997817,-19.15,ST_TOUCH
2024-01-09 13:38:00+05:30,2024-01-09 15:20:00+05:30,short,21695.8,21524.15,21750.0395,171.64999999999782,171.65,EOD_EXIT
2024-01-10 09:40:00+05:30,2024-01-10 10:03:00+05:30,long,21530.65,21516.2,21476.823375,27.599999999998545,-14.45,ST_TOUCH
2024-01-10 10:16:00+05:30,2024-01-10 10:23:00+05:30,long,21556.15,21541.95,21502.259625000002,12.5,-14.2,ST_TOUCH
2024-01-10 10:48:00+05:30,2024-01-10 11:14:00+05:30,short,21518.8,21542.25,21572.596999999998,2.399999999997817,-23.45,ST_TOUCH
2024-01-10 12:04:00+05:30,2024-01-10 12:47:00+05:30,short,21525.15,21511.2,21578.962875,45.60000000000218,13.95,ST_TOUCH
2024-01-10 13:36:00+05:30,2024-01-10 13:55:00+05:30,short,21488.3,21509.85,21542.02075,4.349999999998545,-21.55,ST_TOUCH
2024-01-10 14:29:00+05:30,2024-01-10 14:36:00+05:30,short,21518.3,21551.95,21572.09575,0.0,-33.65,ST_TOUCH
2024-01-11 10:31:00+05:30,2024-01-11 10:34:00+05:30,short,21647.05,21667.8,21701.167625,0.0,-20.75,ST_TOUCH
2024-01-11 11:45:00+05:30,2024-01-11 13:29:00+05:30,long,21666.2,21663.5,21612.0345,12.200000000000728,-2.7,ST_TOUCH
2024-01-11 14:27:00+05:30,2024-01-11 15:05:00+05:30,long,21636.95,21640.8,21582.857625,22.75,3.85,ST_TOUCH
2024-01-12 09:31:00+05:30,2024-01-12 11:07:00+05:30,long,21731.05,21820.1,21676.722374999998,115.65000000000146,89.05,ST_TOUCH
2024-01-12 11:29:00+05:30,2024-01-12 12:01:00+05:30,long,21840.8,21820.55,21786.198,0.5,-20.25,ST_TOUCH
2024-01-12 12:33:00+05:30,2024-01-12 14:05:00+05:30,long,21840.35,21871.3,21785.749125,52.70000000000073,30.95,ST_TOUCH
2024-01-12 14:27:00+05:30,2024-01-12 14:49:00+05:30,long,21897.95,21895.95,21843.205125,29.049999999999272,-2.0,ST_TOUCH
2024-01-15 09:31:00+05:30,2024-01-15 09:49:00+05:30,long,22064.9,22021.4,22009.73775,13.25,-43.5,ST_TOUCH
2024-01-15 10:11:00+05:30,2024-01-15 11:34:00+05:30,long,22021.85,22043.45,21966.795374999998,38.45000000000073,21.6,ST_TOUCH
2024-01-15 11:45:00+05:30,2024-01-15 12:36:00+05:30,long,22054.35,22046.05,21999.214125,13.850000000002183,-8.3,ST_TOUCH
2024-01-15 13:48:00+05:30,2024-01-15 13:57:00+05:30,short,22041.9,22057.8,22097.00475,10.5,-15.9,ST_TOUCH
2024-01-15 14:48:00+05:30,2024-01-15 15:20:00+05:30,long,22087.3,22096.55,22032.081749999998,13.650000000001455,9.25,EOD_EXIT
2024-01-16 09:50:00+05:30,2024-01-16 10:01:00+05:30,long,22096.15,22066.0,22040.909625,10.899999999997817,-30.15,ST_TOUCH
2024-01-16 10:35:00+05:30,2024-01-16 11:21:00+05:30,long,22101.75,22100.65,22046.495625,19.950000000000728,-1.1,ST_TOUCH
2024-01-16 11:59:00+05:30,2024-01-16 12:08:00+05:30,long,22106.75,22073.1,22051.483125,0.0,-33.65,ST_TOUCH
2024-01-16 12:46:00+05:30,2024-01-16 13:44:00+05:30,short,22067.95,22013.0,22123.119875,90.40000000000146,54.95,ST_TOUCH
