bar_idx,bar_time,direction,entry_price,stop_price,target_price,risk_pts,reward_pts,rr_ratio,score_contraction,score_signature,score_time,score_sr,score_rev_guard,confidence,signature_tags,contraction_start,contraction_end,sr_context,reason,hit_target,hit_stop,outcome_pts,bars_to_close
32210,2024-07-29 13:55:00,short,24825.75,24859.23,24892.71,33.48,66.96,2.0,0.843,0.35,0.65,0.3,1.0,60.8,['SQUEEZE(avg=20.8pts)'],32190,32208,near_support,C Q=0.84 bars=32190-32208 | Sigs=[SQUEEZE(avg=20.8pts)] | T=13:55(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=60.8,True,False,66.96,1
35111,2024-09-23 11:55:00,long,25879.95,25856.92,25926.0,23.03,46.05,2.0,0.789,0.35,0.4,0.3,1.0,55.7,['SQUEEZE(avg=14.6pts)'],35083,35110,near_resistance,C Q=0.79 bars=35083-35110 | Sigs=[SQUEEZE(avg=14.6pts)] | T=11:55(s=0.40) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=55.7,True,False,46.05,28
35674,2024-10-03 15:05:00,long,25262.2,25248.47,25289.65,13.73,27.45,2.0,0.785,0.0,1.0,0.7,1.0,60.1,[],35658,35672,clear,C Q=0.78 bars=35658-35672 | Sigs=[none] | T=15:05(s=1.00) | SR=clear(s=0.70) | Rev=1.00 | Conf=60.1,False,True,-13.73,2
36248,2024-10-15 12:55:00,short,25058.8,25068.41,25078.02,9.61,19.22,2.0,0.836,0.5,0.65,0.3,1.0,65.1,"['SQUEEZE(avg=9.9pts)', 'HL_STAIRCASE(bullish)']",36215,36246,near_support,"C Q=0.84 bars=36215-36246 | Sigs=[SQUEEZE(avg=9.9pts), HL_STAIRCASE(bullish)] | T=12:55(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=65.1",True,False,19.22,1
36399,2024-10-17 13:00:00,long,24793.4,24772.7,24834.8,20.7,41.4,2.0,0.781,0.55,0.65,0.3,1.0,65.3,"['SQUEEZE(avg=18.2pts)', 'DOJI(x1)']",36359,36398,near_resistance,"C Q=0.78 bars=36359-36398 | Sigs=[SQUEEZE(avg=18.2pts), DOJI(x1)] | T=13:00(s=0.65) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=65.3",False,True,-20.7,3
36759,2024-10-24 11:45:00,long,24413.85,24407.85,24425.85,6.0,12.0,2.0,0.842,0.7,0.4,0.3,0.75,63.8,"['SQUEEZE(avg=10.2pts)', 'DOJI(x1)', 'HL_STAIRCASE(bullish)']",36729,36758,near_resistance,"C Q=0.84 bars=36729-36758 | Sigs=[SQUEEZE(avg=10.2pts), DOJI(x1), HL_STAIRCASE(bullish)] | T=11:45(s=0.40) | SR=near_resistance(s=0.30) | Rev=0.75 | Conf=63.8",False,True,-6.0,1
37280,2024-11-05 10:25:00,long,24022.9,23991.05,24086.6,31.85,63.7,2.0,0.786,0.52,0.4,0.3,1.0,60.8,"['SQUEEZE(avg=23.8pts)', 'LH_CASCADE(bearish)']",37264,37278,near_resistance,"C Q=0.79 bars=37264-37278 | Sigs=[SQUEEZE(avg=23.8pts), LH_CASCADE(bearish)] | T=10:25(s=0.40) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=60.8",False,True,-31.85,1
40172,2025-01-01 13:55:00,long,23785.95,23760.53,23836.78,25.42,50.83,2.0,0.803,0.55,0.65,0.3,0.8,62.8,"['SQUEEZE(avg=16.2pts)', 'DOJI(x1)']",40140,40168,near_resistance,"C Q=0.80 bars=40140-40168 | Sigs=[SQUEEZE(avg=16.2pts), DOJI(x1)] | T=13:55(s=0.65) | SR=near_resistance(s=0.30) | Rev=0.80 | Conf=62.8",False,True,-25.42,10
42088,2025-02-05 11:05:00,short,23731.05,23763.53,23796.0,32.48,64.95,2.0,0.789,0.7,0.4,0.3,0.75,62.5,"['SQUEEZE(avg=14.6pts)', 'DOJI(x1)', 'HL_STAIRCASE(bullish)']",42064,42085,near_support,"C Q=0.79 bars=42064-42085 | Sigs=[SQUEEZE(avg=14.6pts), DOJI(x1), HL_STAIRCASE(bullish)] | T=11:05(s=0.40) | SR=near_support(s=0.30) | Rev=0.75 | Conf=62.5",True,False,64.95,1
43183,2025-02-25 14:50:00,short,22572.9,22579.54,22586.18,6.64,13.28,2.0,0.788,0.35,1.0,0.3,1.0,64.7,['SQUEEZE(avg=8.3pts)'],43162,43180,near_support,C Q=0.79 bars=43162-43180 | Sigs=[SQUEEZE(avg=8.3pts)] | T=14:50(s=1.00) | SR=near_support(s=0.30) | Rev=1.00 | Conf=64.7,True,False,13.28,1
43233,2025-02-27 12:45:00,long,22529.05,22522.33,22542.49,6.72,13.44,2.0,0.855,0.72,0.65,0.3,0.7,67.7,"['SQUEEZE(avg=6.9pts)', 'DOJI(x1)', 'LH_CASCADE(bearish)']",43195,43231,near_resistance,"C Q=0.86 bars=43195-43231 | Sigs=[SQUEEZE(avg=6.9pts), DOJI(x1), LH_CASCADE(bearish)] | T=12:45(s=0.65) | SR=near_resistance(s=0.30) | Rev=0.70 | Conf=67.7",True,False,13.44,9
45237,2025-04-09 11:00:00,short,22367.2,22392.33,22417.47,25.13,50.27,2.0,0.862,0.5,0.4,0.3,1.0,62.1,"['SQUEEZE(avg=18.4pts)', 'HL_STAIRCASE(bullish)']",45217,45235,near_support,"C Q=0.86 bars=45217-45235 | Sigs=[SQUEEZE(avg=18.4pts), HL_STAIRCASE(bullish)] | T=11:00(s=0.40) | SR=near_support(s=0.30) | Rev=1.00 | Conf=62.1",True,False,50.27,1
