bar_index,time,open,high,low,close,candle_range,avg_range_lookback,range_std_dev,min_range_window,max_range_window,compression_ratio,compression_pct,atr,atr_pct_of_close,body_ratio,wick_ratio,candle_direction,zone_type,zone_score,is_progressive_squeeze,prior_trend,price_vs_sma20,resistance_level,support_level,range_above_support,range_below_resist,volume_ratio_vs_avg,candles_to_breakout,breakout_direction,breakout_magnitude,max_move_next_5,max_move_next_10
4243,24-02-2025 12:50,22564.3,22571.55,22562.65,22571.55,8.9,16.375,4.0303,9.2,22.45,0.5435,54.4%,15.8497,0.07%,0.815,0.185,Bullish,Strong Contraction,58.2,True,Downtrend,Below SMA20,22594.05,22553.9,17.65,22.5,N/A,6,Downside Breakdown,2.3,19.45,46.85
4248,24-02-2025 13:15,22572.3,22576.25,22568.2,22575.95,8.05,15.58,3.9846,8.9,22.45,0.5167,51.7%,14.4743,0.06%,0.453,0.547,Bullish,Moderate Contraction,39.9,False,Uptrend,Below SMA20,22591.0,22553.9,22.05,15.05,N/A,1,Downside Breakdown,2.3,51.25,57.15
4251,24-02-2025 13:30,22560.35,22565.2,22555.3,22562.8,9.9,15.96,5.9872,8.05,28.75,0.6203,62.0%,15.6842,0.07%,0.247,0.753,Bullish,Mild Contraction,24.9,False,Downtrend,Below SMA20,22591.0,22544.3,18.5,28.2,N/A,1,Downside Breakdown,19.6,44.0,44.0
4256,24-02-2025 13:55,22545.95,22547.55,22538.15,22546.05,9.4,17.44,9.6246,8.05,39.45,0.539,53.9%,16.3707,0.07%,0.011,0.989,Bullish,Moderate Contraction,30.5,False,Downtrend,Below SMA20,22591.0,22518.8,27.25,44.95,N/A,19,Downside Breakdown,2.35,16.25,44.1
4268,24-02-2025 14:55,22574.8,22574.8,22567.75,22571.5,7.05,17.79,2.6353,13.8,20.95,0.3963,39.6%,15.9433,0.07%,0.468,0.532,Bearish,Strong Contraction,57.4,False,Uptrend,Above SMA20,22590.15,22531.7,39.8,18.65,N/A,7,Downside Breakdown,15.25,27.35,55.05
4273,24-02-2025 15:20,22549.9,22550.6,22544.15,22547.95,6.45,17.21,6.3136,7.05,31.75,0.3748,37.5%,15.5674,0.07%,0.302,0.698,Bearish,Moderate Contraction,47.1,False,Downtrend,Below SMA20,22590.15,22540.95,7.0,42.2,N/A,2,Downside Breakdown,24.5,37.0,77.35
4280,25-02-2025 09:40,22600.55,22608.9,22592.9,22603.85,16.0,25.85,18.4,6.45,68.2,0.619,61.9%,25.225,0.11%,0.206,0.794,Bullish,Mild Contraction,17.5,False,Uptrend,Above SMA20,22611.75,22516.45,87.4,7.9,N/A,1,Upside Breakout,13.55,21.45,38.85
4283,25-02-2025 09:55,22608.7,22613.05,22594.95,22607.2,18.1,28.15,17.8086,6.45,68.2,0.643,64.3%,24.2831,0.11%,0.083,0.917,Bearish,Mild Contraction,15.3,False,Uptrend,Above SMA20,22625.3,22516.45,90.75,18.1,N/A,,,,39.9,45.7
4288,25-02-2025 10:20,22573.1,22579.5,22567.3,22572.7,12.2,24.855,8.2418,16.0,38.7,0.4908,49.1%,22.4465,0.1%,0.033,0.967,Bearish,Moderate Contraction,39.6,False,Downtrend,Below SMA20,22625.3,22546.25,26.45,52.6,N/A,14,Downside Breakdown,1.4,21.3,21.3
4292,25-02-2025 10:40,22586.75,22588.9,22577.8,22582.8,11.1,19.535,4.9416,12.2,31.65,0.5682,56.8%,19.7196,0.09%,0.356,0.644,Bearish,Moderate Contraction,36.1,False,Downtrend,Above SMA20,22622.1,22565.0,17.8,39.3,N/A,1,Downside Breakdown,3.5,27.65,37.95
4296,25-02-2025 11:00,22564.25,22564.5,22555.15,22561.55,9.35,18.0,6.6197,10.3,31.65,0.5194,51.9%,17.1447,0.08%,0.289,0.711,Bearish,Moderate Contraction,36.9,False,Downtrend,Below SMA20,22603.55,22558.9,2.65,42.0,N/A,1,Downside Breakdown,0.4,10.9,16.7
4299,25-02-2025 11:15,22566.95,22569.2,22561.0,22563.95,8.2,13.915,5.6965,7.05,24.2,0.5893,58.9%,13.8647,0.06%,0.366,0.634,Bearish,Mild Contraction,28.0,False,Downtrend,Below SMA20,22594.0,22555.15,8.8,30.05,N/A,2,Downside Breakdown,4.5,19.1,19.1
4306,25-02-2025 11:50,22557.75,22561.65,22556.4,22557.25,5.25,10.14,2.8001,7.05,16.25,0.5178,51.8%,11.7527,0.05%,0.095,0.905,Bearish,Moderate Contraction,39.1,False,Downtrend,Below SMA20,22573.6,22544.85,12.4,16.35,N/A,4,Upside Breakout,7.55,33.05,33.05
4312,25-02-2025 12:20,22577.1,22580.35,22572.1,22576.15,8.25,11.88,4.2075,5.25,18.15,0.6944,69.4%,12.0269,0.05%,0.115,0.885,Bearish,Mild Contraction,15.6,False,Uptrend,Above SMA20,22590.3,22544.85,31.3,14.15,N/A,9,Upside Breakout,6.1,10.2,24.25
4316,25-02-2025 12:40,22568.6,22571.75,22566.05,22567.65,5.7,10.83,4.1857,5.25,18.15,0.5263,52.6%,10.6174,0.05%,0.167,0.833,Bearish,Strong Contraction,54.4,True,Uptrend,Above SMA20,22590.3,22553.0,14.65,22.65,N/A,5,Upside Breakout,6.1,28.75,32.75
4320,25-02-2025 13:00,22574.6,22578.9,22573.8,22576.35,5.1,10.19,4.0944,5.65,18.15,0.5005,50.0%,9.3136,0.04%,0.343,0.657,Bullish,Moderate Contraction,37.6,False,Uptrend,Above SMA20,22590.3,22566.05,10.3,13.95,N/A,1,Upside Breakout,6.1,24.05,24.05
4356,27-02-2025 09:45,22560.25,22570.0,22552.8,22554.4,17.2,25.425,10.0287,13.8,44.35,0.6765,67.6%,24.7103,0.11%,0.34,0.66,Bearish,Mild Contraction,19.6,False,Uptrend,Below SMA20,22613.3,22513.9,40.5,58.9,N/A,,,,24.4,28.0
4359,27-02-2025 10:00,22537.95,22548.3,22536.6,22539.0,11.7,25.735,9.6681,17.2,44.35,0.4546,45.5%,21.8035,0.1%,0.09,0.91,Bullish,Moderate Contraction,41.3,False,Uptrend,Below SMA20,22613.3,22513.9,25.1,74.3,N/A,,,,13.45,25.7
4362,27-02-2025 10:15,22542.9,22549.75,22540.25,22540.25,9.5,20.215,8.1138,11.7,39.95,0.4699,47.0%,18.4467,0.08%,0.279,0.721,Bearish,Moderate Contraction,39.7,False,Downtrend,Below SMA20,22576.25,22530.0,10.25,36.0,N/A,1,Downside Breakdown,3.05,14.7,24.45
4367,27-02-2025 10:40,22550.85,22554.95,22547.5,22553.4,7.45,13.93,3.2992,9.5,20.0,0.5348,53.5%,14.8197,0.07%,0.342,0.658,Bullish,Moderate Contraction,39.3,False,Uptrend,Above SMA20,22555.9,22526.4,27.0,2.5,N/A,2,Upside Breakout,8.8,12.6,20.75
4373,27-02-2025 11:10,22543.05,22549.35,22542.1,22548.95,7.25,10.655,3.3576,4.25,14.45,0.6804,68.0%,11.5209,0.05%,0.814,0.186,Bullish,Mild Contraction,16.8,False,Uptrend,Above SMA20,22564.7,22526.4,22.55,15.75,N/A,7,Downside Breakdown,2.2,20.65,29.35
4376,27-02-2025 11:25,22540.35,22542.55,22538.2,22539.85,4.35,9.72,3.9375,4.25,17.9,0.4475,44.8%,10.6754,0.05%,0.115,0.885,Bearish,Moderate Contraction,40.9,False,Downtrend,Below SMA20,22564.7,22538.9,0.95,24.85,N/A,1,Downside Breakdown,6.25,15.65,20.25
4384,27-02-2025 12:05,22521.75,22525.2,22519.65,22523.1,5.55,8.535,3.5472,4.35,17.9,0.6503,65.0%,8.5787,0.04%,0.243,0.757,Bullish,Mild Contraction,21.3,False,Downtrend,Below SMA20,22557.25,22519.6,3.5,34.15,N/A,6,Downside Breakdown,3.45,11.0,12.5
4394,27-02-2025 12:55,22532.25,22535.6,22531.2,22534.3,4.4,6.625,1.1772,4.7,8.55,0.6642,66.4%,6.8513,0.03%,0.466,0.534,Bullish,Strong Contraction,51.5,True,Uptrend,Above SMA20,22534.1,22516.15,18.15,-0.2,N/A,1,Upside Breakout,3.55,8.35,10.45
4413,27-02-2025 14:30,22551.25,22552.9,22547.0,22549.7,5.9,9.585,1.6861,7.95,12.7,0.6155,61.6%,8.7394,0.04%,0.263,0.737,Bearish,Moderate Contraction,35.8,False,Uptrend,Above SMA20,22553.75,22531.05,18.65,4.05,N/A,5,Upside Breakout,3.15,14.85,17.05
4431,28-02-2025 09:45,22261.15,22281.25,22255.4,22259.65,25.85,41.365,36.9564,8.45,136.4,0.6249,62.5%,37.6884,0.17%,0.058,0.942,Bearish,Moderate Contraction,35.8,True,Downtrend,Below SMA20,22556.1,22249.1,10.55,296.45,N/A,2,Downside Breakdown,15.5,35.55,35.55
4434,28-02-2025 10:00,22235.4,22247.45,22224.1,22238.0,23.35,46.735,33.4357,23.45,136.4,0.4996,50.0%,34.9009,0.16%,0.111,0.889,Bullish,Moderate Contraction,34.9,False,Downtrend,Below SMA20,22538.15,22233.6,4.4,300.15,N/A,,,,55.5,62.5
4438,28-02-2025 10:20,22287.9,22293.5,22272.9,22291.05,20.6,31.375,13.9502,13.8,63.0,0.6566,65.7%,29.0817,0.13%,0.153,0.847,Bullish,Mild Contraction,18.6,False,Uptrend,Below SMA20,22339.8,22224.1,66.95,48.75,N/A,18,Downside Breakdown,3.55,27.9,50.85
4447,28-02-2025 11:05,22254.55,22261.75,22251.6,22259.95,10.15,22.365,4.5499,17.75,30.95,0.4538,45.4%,21.9615,0.1%,0.532,0.468,Bullish,Moderate Contraction,47.5,False,Downtrend,Below SMA20,22300.5,22240.2,19.75,40.55,N/A,3,Downside Breakdown,0.55,20.3,39.4
4450,28-02-2025 11:20,22247.5,22251.3,22239.65,22243.65,11.65,18.77,5.7515,10.15,30.95,0.6207,62.1%,18.9005,0.08%,0.33,0.67,Bearish,Mild Contraction,27.2,False,Downtrend,Below SMA20,22300.5,22240.2,3.45,56.85,N/A,4,Downside Breakdown,2.1,36.35,36.35
4453,28-02-2025 11:35,22253.55,22263.25,22250.25,22260.15,13.0,18.735,7.0573,10.15,30.95,0.6939,69.4%,19.505,0.09%,0.508,0.492,Bullish,Mild Contraction,17.8,False,Downtrend,Below SMA20,22294.1,22239.65,20.5,33.95,N/A,1,Downside Breakdown,1.55,39.6,42.65
4459,28-02-2025 12:05,22226.6,22227.55,22217.5,22217.5,10.05,17.805,6.1472,11.15,29.25,0.5644,56.4%,17.4557,0.08%,0.905,0.095,Bearish,Moderate Contraction,34.1,False,Downtrend,Below SMA20,22280.0,22220.55,-3.05,62.5,N/A,1,Downside Breakdown,1.75,36.25,109.2
4467,28-02-2025 12:45,22170.05,22180.45,22167.3,22173.05,13.15,19.975,11.9134,7.3,42.75,0.6583,65.8%,20.8572,0.09%,0.228,0.772,Bullish,Mild Contraction,16.0,False,Downtrend,Below SMA20,22253.75,22167.4,5.65,80.7,N/A,1,Downside Breakdown,26.35,67.9,67.9
4474,28-02-2025 13:20,22130.75,22136.6,22123.65,22130.3,12.95,28.345,9.7686,13.15,42.75,0.4569,45.7%,22.9167,0.1%,0.035,0.965,Bearish,Moderate Contraction,41.8,False,Downtrend,Below SMA20,22249.3,22105.15,25.15,119.0,N/A,,,,18.75,33.5
4477,28-02-2025 13:35,22118.2,22125.45,22111.55,22122.1,13.9,23.085,8.3067,12.95,34.65,0.6021,60.2%,20.5654,0.09%,0.281,0.719,Bullish,Mild Contraction,29.2,False,Downtrend,Below SMA20,22180.45,22105.15,16.95,58.35,N/A,14,Upside Breakout,18.3,41.7,41.7
4484,28-02-2025 14:10,22134.45,22138.8,22126.4,22138.5,12.4,21.735,11.2687,12.95,48.95,0.5705,57.1%,21.6199,0.1%,0.327,0.673,Bullish,Strong Contraction,51.5,True,Uptrend,Above SMA20,22163.8,22111.55,26.95,25.3,N/A,6,Upside Breakout,9.5,17.3,60.25
4487,28-02-2025 14:25,22137.4,22144.3,22135.1,22140.45,9.2,23.2,11.4951,12.4,48.95,0.3966,39.7%,20.6822,0.09%,0.332,0.668,Bullish,Moderate Contraction,43.4,False,Uptrend,Above SMA20,22163.8,22111.55,28.9,23.35,N/A,3,Upside Breakout,9.5,58.3,58.3
4495,28-02-2025 15:05,22137.25,22138.3,22127.55,22133.35,10.75,26.685,15.0711,9.2,49.5,0.4028,40.3%,25.2253,0.11%,0.363,0.637,Bearish,Moderate Contraction,40.5,False,Uptrend,Below SMA20,22198.75,22123.55,9.8,65.4,N/A,1,Downside Breakdown,6.3,128.2,128.2
