direction,entry_time,exit_time,entry_price,exit_price,vwap_at_entry,price_vs_vwap,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-07-10 10:25:00+05:30,2025-07-10 15:00:00+05:30,25421.25,25362.5,25435.86,-14.61,25434.67002064886,25434.67002064886,False,58.75,78.85,9.8,SOFT_EOD_EXIT
short,2025-07-16 10:20:00+05:30,2025-07-16 11:45:00+05:30,25148.3,25160.223095649515,25152.03,-3.73,25160.223095649515,25160.223095649515,False,-11.92,27.25,18.15,STOP_LOSS
long,2025-07-16 14:30:00+05:30,2025-07-16 15:00:00+05:30,25227.7,25213.65,25178.47,49.23,25210.822006901573,25210.822006901573,False,-14.05,11.5,14.8,SOFT_EOD_EXIT
long,2025-07-23 14:25:00+05:30,2025-07-23 15:00:00+05:30,25195.4,25224.9,25144.41,50.99,25179.464244097086,25179.464244097086,False,29.5,35.75,3.4,SOFT_EOD_EXIT
short,2025-07-28 14:15:00+05:30,2025-07-28 14:35:00+05:30,24679.15,24695.159564703972,24775.75,-96.6,24695.159564703972,24695.159564703972,False,-16.01,8.95,17.85,STOP_LOSS
short,2025-08-05 10:05:00+05:30,2025-08-05 12:10:00+05:30,24633.65,24651.066461993807,24644.89,-11.24,24651.066461993807,24651.066461993807,False,-17.42,36.8,35.05,STOP_LOSS
short,2025-08-06 14:50:00+05:30,2025-08-06 15:00:00+05:30,24579.05,24568.45,24595.65,-16.6,24590.890545516537,24590.890545516537,False,10.6,22.7,6.55,SOFT_EOD_EXIT
short,2025-08-08 10:25:00+05:30,2025-08-08 15:00:00+05:30,24467.6,24396.5,24493.56,-25.96,24484.991801734403,24484.991801734403,False,71.1,84.9,13.75,SOFT_EOD_EXIT
long,2025-08-12 10:10:00+05:30,2025-08-12 10:25:00+05:30,24662.35,24634.122578468116,24643.36,18.99,24634.122578468116,24634.122578468116,False,-28.23,19.65,50.85,STOP_LOSS
long,2025-08-13 14:15:00+05:30,2025-08-13 15:00:00+05:30,24648.05,24627.972772460842,24596.38,51.67,24627.972772460842,24627.972772460842,False,-20.08,6.0,30.2,STOP_LOSS
short,2025-08-22 14:50:00+05:30,2025-08-22 15:00:00+05:30,24895.65,24870.05,24931.82,-36.17,24906.245264866102,24906.245264866102,False,25.6,29.95,2.65,SOFT_EOD_EXIT
short,2025-08-29 10:15:00+05:30,2025-08-29 10:20:00+05:30,24494.2,24513.803478411202,24501.39,-7.19,24513.803478411202,24513.803478411202,False,-19.6,0.8,23.9,STOP_LOSS
long,2025-09-02 10:20:00+05:30,2025-09-02 13:20:00+05:30,24720.25,24697.699291623518,24699.18,21.07,24697.699291623518,24697.699291623518,False,-22.55,35.85,41.35,STOP_LOSS
short,2025-09-02 14:35:00+05:30,2025-09-02 15:00:00+05:30,24574.9,24570.05,24696.09,-121.19,24601.562842430496,24601.562842430496,False,4.85,18.15,42.35,SOFT_EOD_EXIT
long,2025-09-03 14:40:00+05:30,2025-09-03 15:00:00+05:30,24660.75,24702.8,24605.58,55.17,24644.29848358514,24644.29848358514,False,42.05,43.3,1.85,SOFT_EOD_EXIT
short,2025-09-04 14:30:00+05:30,2025-09-04 14:40:00+05:30,24751.3,24769.13200075607,24824.04,-72.74,24769.13200075607,24769.13200075607,False,-17.83,22.0,28.25,STOP_LOSS
short,2025-09-04 14:45:00+05:30,2025-09-04 15:00:00+05:30,24763.0,24734.4,24820.87,-57.87,24782.59537204773,24782.59537204773,False,28.6,35.65,14.1,SOFT_EOD_EXIT
short,2025-09-05 10:25:00+05:30,2025-09-05 12:25:00+05:30,24721.75,24656.750888557428,24761.59,-39.84,24751.139899965365,24656.750888557428,True,65.0,79.45,8.35,TRAIL_SL
long,2025-09-17 10:25:00+05:30,2025-09-17 15:00:00+05:30,25320.35,25329.2,25317.32,3.03,25300.89569456511,25300.89569456511,False,8.85,26.15,40.5,SOFT_EOD_EXIT
short,2025-09-18 14:40:00+05:30,2025-09-18 14:45:00+05:30,25352.5,25366.259081018714,25399.04,-46.54,25366.259081018714,25366.259081018714,False,-13.76,1.25,35.05,STOP_LOSS
short,2025-09-19 10:20:00+05:30,2025-09-19 13:25:00+05:30,25330.2,25344.179869328356,25338.17,-7.97,25344.179869328356,25344.179869328356,False,-13.98,43.9,17.3,STOP_LOSS
short,2025-09-23 10:00:00+05:30,2025-09-23 12:30:00+05:30,25152.7,25171.854061287053,25167.99,-15.29,25171.854061287053,25171.854061287053,False,-19.15,68.05,35.95,STOP_LOSS
short,2025-09-25 10:20:00+05:30,2025-09-25 12:50:00+05:30,25042.3,24973.21580371762,25050.8,-8.5,25057.48402668205,24973.21580371762,True,69.08,82.75,11.5,TRAIL_SL
short,2025-09-26 10:20:00+05:30,2025-09-26 14:10:00+05:30,24789.1,24660.832818746036,24795.24,-6.14,24806.53828114923,24660.832818746036,True,128.27,150.7,19.15,TRAIL_SL
short,2025-09-26 14:35:00+05:30,2025-09-26 15:00:00+05:30,24656.6,24654.15,24754.78,-98.18,24672.74481465301,24672.74481465301,False,2.45,26.25,18.05,SOFT_EOD_EXIT
long,2025-10-01 14:55:00+05:30,2025-10-01 15:00:00+05:30,24835.35,24837.6,24742.99,92.36,24807.301410291508,24807.301410291508,False,2.25,13.45,5.95,SOFT_EOD_EXIT
long,2025-10-07 10:20:00+05:30,2025-10-07 11:15:00+05:30,25173.2,25148.539907451093,25153.36,19.84,25148.539907451093,25148.539907451093,False,-24.66,22.75,32.95,STOP_LOSS
long,2025-10-07 14:15:00+05:30,2025-10-07 14:25:00+05:30,25198.4,25176.61611923488,25163.63,34.77,25176.61611923488,25176.61611923488,False,-21.78,0.0,52.3,STOP_LOSS
long,2025-10-10 10:05:00+05:30,2025-10-10 11:20:00+05:30,25256.65,25297.613703278785,25250.52,6.13,25229.399838374266,25297.613703278785,True,40.96,58.9,7.9,TRAIL_SL
short,2025-10-14 10:25:00+05:30,2025-10-14 11:35:00+05:30,25210.45,25146.0683107359,25234.11,-23.66,25229.437648604584,25146.0683107359,True,64.38,94.9,29.8,TRAIL_SL
short,2025-10-20 14:45:00+05:30,2025-10-20 15:00:00+05:30,25830.55,25821.05,25855.55,-25.0,25849.423230948072,25849.423230948072,False,9.5,19.55,6.65,SOFT_EOD_EXIT
long,2025-10-23 10:25:00+05:30,2025-10-23 13:30:00+05:30,26073.4,26045.744331669088,26067.57,5.83,26045.744331669088,26045.744331669088,False,-27.66,30.8,53.1,STOP_LOSS
short,2025-10-23 14:50:00+05:30,2025-10-23 15:00:00+05:30,25967.5,25907.55,26045.74,-78.24,25987.4682393143,25987.4682393143,False,59.95,62.05,8.7,SOFT_EOD_EXIT
short,2025-10-24 14:30:00+05:30,2025-10-24 15:00:00+05:30,25759.4,25776.018150874497,25822.14,-62.74,25776.018150874497,25776.018150874497,False,-16.62,21.45,43.95,STOP_LOSS
short,2025-10-28 14:50:00+05:30,2025-10-28 15:00:00+05:30,25834.25,25857.006677099616,25896.62,-62.37,25857.006677099616,25857.006677099616,False,-22.76,1.6,86.9,STOP_LOSS
short,2025-10-30 10:25:00+05:30,2025-10-30 11:20:00+05:30,25938.05,25958.382558100293,25942.93,-4.88,25958.382558100293,25958.382558100293,False,-20.33,26.1,36.95,STOP_LOSS
short,2025-11-04 10:00:00+05:30,2025-11-04 14:35:00+05:30,25716.65,25624.293628286687,25720.0,-3.35,25732.645722760175,25624.293628286687,True,92.36,124.0,3.9,TRAIL_SL
long,2025-11-11 14:40:00+05:30,2025-11-11 15:00:00+05:30,25663.45,25693.85,25554.0,109.45,25634.933473219247,25634.933473219247,False,30.4,39.3,2.7,SOFT_EOD_EXIT
long,2025-11-12 10:15:00+05:30,2025-11-12 12:10:00+05:30,25836.95,25892.886569309943,25831.48,5.47,25808.87823132364,25892.886569309943,True,55.94,70.9,7.0,TRAIL_SL
short,2025-11-13 14:25:00+05:30,2025-11-13 15:00:00+05:30,25921.6,25888.65,25938.7,-17.1,25938.840470434392,25938.840470434392,False,32.95,51.75,18.35,SOFT_EOD_EXIT
short,2025-11-14 10:15:00+05:30,2025-11-14 10:50:00+05:30,25798.65,25823.453305891737,25814.74,-16.09,25823.453305891737,25823.453305891737,False,-24.8,46.95,39.15,STOP_LOSS
short,2025-11-14 14:15:00+05:30,2025-11-14 14:35:00+05:30,25771.9,25784.97589236475,25803.27,-31.37,25784.97589236475,25784.97589236475,False,-13.08,14.75,25.4,STOP_LOSS
long,2025-11-20 14:35:00+05:30,2025-11-20 14:40:00+05:30,26218.7,26198.852371811357,26152.27,66.43,26198.852371811357,26198.852371811357,False,-19.85,5.1,23.4,STOP_LOSS
short,2025-11-25 09:45:00+05:30,2025-11-25 09:50:00+05:30,25961.15,25979.614565653388,25965.17,-4.02,25979.614565653388,25979.614565653388,False,-18.46,9.05,26.95,STOP_LOSS
long,2025-11-26 14:15:00+05:30,2025-11-26 14:25:00+05:30,26189.9,26167.740618062053,26123.57,66.33,26167.740618062053,26167.740618062053,False,-22.16,9.75,22.3,STOP_LOSS
long,2025-11-27 10:20:00+05:30,2025-11-27 11:45:00+05:30,26276.95,26251.277739214464,26269.1,7.85,26251.277739214464,26251.277739214464,False,-25.67,33.5,43.25,STOP_LOSS
short,2025-12-02 10:25:00+05:30,2025-12-02 10:55:00+05:30,26078.8,26092.2033622572,26091.84,-13.04,26092.2033622572,26092.2033622572,False,-13.4,9.15,20.8,STOP_LOSS
short,2025-12-08 10:20:00+05:30,2025-12-08 13:00:00+05:30,26101.65,26021.452209573887,26111.56,-9.91,26118.60852995268,26021.452209573887,True,80.2,97.15,2.25,TRAIL_SL
short,2025-12-08 14:20:00+05:30,2025-12-08 14:50:00+05:30,25929.8,25946.814036183223,26040.7,-110.9,25946.814036183223,25946.814036183223,False,-17.01,26.35,41.0,STOP_LOSS
short,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,25939.6,25955.81896384516,26029.51,-89.91,25955.81896384516,25955.81896384516,False,-16.22,0.0,39.35,STOP_LOSS
short,2025-12-09 14:55:00+05:30,2025-12-09 15:00:00+05:30,25831.45,25840.05,25843.65,-12.2,25847.14751351036,25847.14751351036,False,-8.6,0.0,24.15,SOFT_EOD_EXIT
short,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,25760.45,25762.15,25838.69,-78.24,25777.394346396068,25777.394346396068,False,-1.7,21.05,16.45,SOFT_EOD_EXIT
short,2025-12-11 10:00:00+05:30,2025-12-11 10:05:00+05:30,25739.0,25763.69919092409,25746.73,-7.73,25763.69919092409,25763.69919092409,False,-24.7,5.6,35.1,STOP_LOSS
short,2025-12-16 10:15:00+05:30,2025-12-16 15:00:00+05:30,25912.45,25874.6,25917.76,-5.31,25928.27637972107,25928.27637972107,False,37.85,64.3,16.7,SOFT_EOD_EXIT
short,2025-12-18 14:30:00+05:30,2025-12-18 15:00:00+05:30,25808.9,25823.65,25836.18,-27.28,25824.659777975754,25824.659777975754,False,-14.75,38.05,16.4,SOFT_EOD_EXIT
