direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-12-16 10:15:00+05:30,2025-12-16 11:50:00+05:30,25912.44921875,25888.94490023785,25928.19280425859,25888.94490023785,3,True,False,23.5,39.85,10.25,TRAIL_SL
long,2025-12-19 10:55:00+05:30,2025-12-19 11:25:00+05:30,25962.400390625,25943.182863719718,25943.182863719718,25943.182863719718,3,False,False,-19.22,6.15,32.1,STOP_LOSS
long,2025-12-22 10:35:00+05:30,2025-12-22 13:35:00+05:30,26122.80078125,26145.03539211808,26104.73235508951,26145.03539211808,3,True,False,22.23,34.45,11.05,TRAIL_SL
short,2025-12-26 10:25:00+05:30,2025-12-26 12:10:00+05:30,26091.75,26060.207704431235,26102.8460073885,26060.207704431235,3,True,False,31.54,43.05,5.85,TRAIL_SL
long,2025-12-31 11:20:00+05:30,2025-12-31 11:55:00+05:30,26044.44921875,26072.762612027014,26027.656716211648,26072.762612027014,2,True,True,28.31,35.9,4.1,TRAIL_SL
long,2026-01-02 11:05:00+05:30,2026-01-02 11:55:00+05:30,26252.0,26290.012122866487,26235.709406719154,26290.012122866487,2,True,True,38.01,45.1,8.7,TRAIL_SL
short,2026-01-07 13:45:00+05:30,2026-01-07 14:00:00+05:30,26082.900390625,26092.811269435628,26092.811269435628,26092.811269435628,2,False,False,-9.91,12.2,17.1,STOP_LOSS
short,2026-01-08 13:00:00+05:30,2026-01-08 13:40:00+05:30,25923.75,25904.680991875528,25937.07598011805,25904.680991875528,3,True,False,19.07,37.35,4.75,TRAIL_SL
short,2026-01-12 09:45:00+05:30,2026-01-12 10:00:00+05:30,25595.44921875,25580.046378699833,25623.957233489236,25580.046378699833,2,True,True,15.4,38.0,13.1,TRAIL_SL
short,2026-01-12 10:00:00+05:30,2026-01-12 10:15:00+05:30,25589.69921875,25566.87818919549,25617.94566868729,25566.87818919549,2,True,True,22.82,43.75,6.55,TRAIL_SL
short,2026-01-12 10:15:00+05:30,2026-01-12 11:45:00+05:30,25583.599609375,25485.577272089253,25609.760822431865,25485.577272089253,2,True,True,98.02,110.2,14.6,TRAIL_SL
short,2026-01-14 14:10:00+05:30,2026-01-14 14:25:00+05:30,25663.19921875,25618.781342225815,25679.79818312059,25618.781342225815,2,True,True,44.42,59.1,6.55,TRAIL_SL
long,2026-01-16 10:55:00+05:30,2026-01-16 11:40:00+05:30,25829.5,25799.990165262305,25799.990165262305,25799.990165262305,3,False,False,-29.51,12.3,32.35,STOP_LOSS
short,2026-01-16 14:10:00+05:30,2026-01-16 14:40:00+05:30,25688.25,25706.512970992866,25706.512970992866,25706.512970992866,3,False,False,-18.26,16.55,32.2,STOP_LOSS
short,2026-01-19 10:50:00+05:30,2026-01-19 10:55:00+05:30,25519.650390625,25537.42902734789,25537.42902734789,25537.42902734789,3,False,False,-17.78,0.45,29.6,STOP_LOSS
