Date,Price,Open,High,Low,Vol.,Change %
22-04-2010,20.53,19.23,20.79,18.75,,6.76%
23-04-2010,20.21,20.53,20.79,18.64,,-1.56%
26-04-2010,19.79,18.85,20.87,18.85,,-2.08%
27-04-2010,19.82,19.79,20.12,19.64,,0.15%
28-04-2010,22.73,20.16,23.14,20.16,,14.68%
29-04-2010,21.19,20.57,21.85,20.29,,-6.78%
30-04-2010,20.35,19.28,20.71,19.28,,-3.96%
03-05-2010,22.14,21.3,22.53,20.98,,8.80%
04-05-2010,23.3,21.36,23.38,21.36,,5.24%
05-05-2010,23.69,23.3,25.16,23.3,,1.67%
06-05-2010,24.36,23.13,26.07,23.13,,2.83%
07-05-2010,27.4,24.36,28.1,24.36,,12.48%
10-05-2010,24.14,20.64,26.2,20.64,,-11.90%
11-05-2010,25.81,23.38,25.94,23.38,,6.92%
12-05-2010,25.82,24.37,27.05,24.37,,0.04%
13-05-2010,24.86,24.18,25.21,24.15,,-3.72%
14-05-2010,26.53,23.42,26.66,23.42,,6.72%
17-05-2010,27.17,27.71,29.36,27.01,,2.41%
18-05-2010,26.54,26.66,27.6,26.18,,-2.32%
19-05-2010,32.04,27.94,32.47,27.94,,20.72%
20-05-2010,31.04,29.52,32.35,28.69,,-3.12%
21-05-2010,32.26,32.95,33.51,31.06,,3.93%
24-05-2010,31.3,28.37,31.3,28.37,,-2.98%
25-05-2010,34.52,31.07,35.86,31.07,,10.29%
26-05-2010,32.15,32.04,33.65,31.46,,-6.87%
27-05-2010,29.01,30.86,31.92,28.95,,-9.77%
28-05-2010,26.43,26.57,28.59,26.43,,-8.89%
31-05-2010,26.43,26.57,27.6,26.4,,0.00%
01-06-2010,29.08,26.67,29.34,26.67,,10.03%
02-06-2010,27.76,28.03,29.27,27.76,,-4.54%
03-06-2010,25.29,26.02,26.51,25.29,,-8.90%
04-06-2010,24.72,25.17,25.78,24.34,,-2.25%
07-06-2010,27.99,25.21,28.48,25.21,,13.23%
08-06-2010,28.77,27.74,29.38,27.21,,2.79%
09-06-2010,28.16,28.06,28.74,27.57,,-2.12%
10-06-2010,26.5,27.86,28.05,26.49,,-5.89%
11-06-2010,25.1,25.42,25.68,24.79,,-5.28%
14-06-2010,22.95,24.93,24.93,22.89,,-8.57%
15-06-2010,21.98,22.74,23.31,21.68,,-4.23%
16-06-2010,22.67,21.32,22.91,20.72,,3.14%
17-06-2010,20.85,22.62,22.77,20.6,,-8.03%
18-06-2010,19.96,21.36,21.36,19.41,,-4.27%
21-06-2010,19.41,21.19,21.19,18.32,,-2.76%
22-06-2010,20.64,20.56,21.44,19.88,,6.34%
23-06-2010,20.34,20.86,21.86,20.28,,-1.45%
24-06-2010,20.07,19.97,21.61,19.34,,-1.33%
25-06-2010,20,20.65,20.68,19.45,,-0.35%
28-06-2010,19.55,19.94,20.84,19.55,,-2.25%
29-06-2010,20.64,20.11,21.3,19.96,,5.58%
30-06-2010,20.07,21.46,21.78,20.03,,-2.76%
01-07-2010,21.44,21.04,22.1,20.93,,6.83%
02-07-2010,21.9,21.37,21.91,20.78,,2.15%
05-07-2010,21.99,22.89,22.89,21.86,,0.41%
06-07-2010,20.9,21.91,22.37,20.76,,-4.96%
07-07-2010,22.11,21.22,22.44,21.22,,5.79%
08-07-2010,21.12,20.84,21.32,20.78,,-4.48%
09-07-2010,20.21,20.42,20.77,20.14,,-4.31%
12-07-2010,19.91,19.96,20.42,19.75,,-1.48%
13-07-2010,19.11,20.02,20.29,19.07,,-4.02%
14-07-2010,20.07,18.16,20.2,18.07,,5.02%
15-07-2010,20.18,19.12,20.5,19.12,,0.55%
16-07-2010,19.7,19.37,20.48,19.37,,-2.38%
19-07-2010,20.71,19.7,20.87,19.36,,5.13%
20-07-2010,20.38,20.71,20.71,19.61,,-1.59%
21-07-2010,20,20.38,20.38,18.82,,-1.86%
22-07-2010,18.9,20,20.37,18.68,,-5.50%
23-07-2010,19.24,18.9,19.72,17.14,,1.80%
26-07-2010,19.97,19.24,20.05,18.62,,3.79%
27-07-2010,19.22,19.97,20.16,18.96,,-3.76%
28-07-2010,19.52,19.22,19.81,17.96,,1.56%
29-07-2010,18.33,19.52,19.65,18.33,,-6.10%
30-07-2010,18.94,18.33,19.23,16.25,,3.33%
02-08-2010,17.99,18.94,19.26,17.92,,-5.02%
03-08-2010,17.55,17.99,18.26,16.78,,-2.45%
04-08-2010,17.04,17.55,17.64,16.74,,-2.91%
05-08-2010,17.71,17.04,17.72,15.83,,3.93%
06-08-2010,17.37,17.71,17.71,16.63,,-1.92%
09-08-2010,17,17.37,17.92,16.87,,-2.13%
10-08-2010,17.33,17,17.75,16.37,,1.94%
11-08-2010,18.11,17.33,18.11,16.39,,4.50%
12-08-2010,18,18.11,18.71,16.74,,-0.61%
13-08-2010,16.74,18,18,15.87,,-7.00%
16-08-2010,18.11,16.74,18.32,15.8,,8.18%
17-08-2010,17.63,18.11,18.11,16.25,,-2.65%
18-08-2010,16.4,17.63,17.76,15.42,,-6.98%
19-08-2010,16.53,16.4,17.02,15.47,,0.79%
20-08-2010,16.7,16.53,16.87,15.29,,1.03%
23-08-2010,17.14,16.7,17.3,15.44,,2.63%
24-08-2010,16.99,17.14,17.8,15.58,,-0.88%
25-08-2010,18.92,16.99,19.35,15.4,,11.36%
26-08-2010,17.09,18.92,18.92,16.9,,-9.67%
27-08-2010,19.63,17.09,19.63,15.28,,14.86%
30-08-2010,18.36,19.63,19.63,16.6,,-6.47%
31-08-2010,18.47,18.36,19.42,17.59,,0.60%
01-09-2010,16.7,18.47,18.47,16.66,,-9.58%
02-09-2010,16.15,16.7,16.7,15.13,,-3.29%
03-09-2010,15.86,16.15,16.44,15.23,,-1.80%
06-09-2010,15.22,15.86,16.11,15.09,,-4.04%
07-09-2010,15.83,15.22,16,14.35,,4.01%
08-09-2010,15.97,15.83,16.32,15.16,,0.88%
09-09-2010,15.92,15.97,16.2,14.94,,-0.31%
13-09-2010,18.14,15.92,18.23,14.88,,13.94%
14-09-2010,18.6,18.14,20.63,16.88,,2.54%
15-09-2010,19.43,18.6,20.08,17.54,,4.46%
16-09-2010,18.85,19.43,20.09,17.97,,-2.99%
17-09-2010,19.49,18.85,19.49,16.51,,3.40%
20-09-2010,21.95,19.49,21.97,17.85,,12.62%
21-09-2010,22.63,21.95,24.3,20.94,,3.10%
22-09-2010,24.29,22.63,24.35,20.61,,7.34%
23-09-2010,23.9,24.29,24.46,20.71,,-1.61%
24-09-2010,21.71,23.9,23.9,21.58,,-9.16%
27-09-2010,22.36,21.71,22.82,20.47,,2.99%
28-09-2010,21.21,22.36,22.42,20.85,,-5.14%
29-09-2010,22.16,21.21,22.57,18.8,,4.48%
30-09-2010,22.25,22.16,22.95,19.05,,0.41%
01-10-2010,21.43,22.25,22.25,20.21,,-3.69%
04-10-2010,22.8,21.43,22.88,21.43,,6.39%
05-10-2010,22.17,22.8,23.01,21.81,,-2.76%
06-10-2010,21.73,22.17,22.17,20.59,,-1.98%
07-10-2010,22.45,21.73,22.78,19.33,,3.31%
08-10-2010,21.4,22.45,22.45,21.03,,-4.68%
11-10-2010,21.2,21.4,21.76,19.67,,-0.93%
12-10-2010,20.51,21.2,22.22,20.5,,-3.25%
13-10-2010,20.02,20.51,20.51,19.01,,-2.39%
14-10-2010,20.6,20.02,20.99,18.14,,2.90%
15-10-2010,22.65,20.6,22.67,17.8,,9.95%
18-10-2010,22.35,22.65,23.99,21.97,,-1.32%
19-10-2010,23.23,22.35,23.23,20.58,,3.94%
20-10-2010,23.8,23.23,23.86,21.92,,2.45%
21-10-2010,22.19,23.8,23.8,21.92,,-6.76%
22-10-2010,21.61,22.19,22.44,20.42,,-2.61%
25-10-2010,21.36,21.61,22.04,20.67,,-1.16%
26-10-2010,20.55,21.36,21.6,18.47,,-3.79%
27-10-2010,21.02,20.55,21.76,20.09,,2.29%
28-10-2010,20.52,21.02,21.22,20.28,,-2.38%
29-10-2010,20.76,20.52,22,20.03,,1.17%
01-11-2010,20.92,20.76,21.19,20.31,,0.77%
02-11-2010,21.25,20.92,21.86,19.43,,1.58%
03-11-2010,21.53,21.25,21.66,19.23,,1.32%
04-11-2010,19.36,21.53,21.53,19.26,,-10.08%
05-11-2010,19.22,19.36,19.43,17.71,,-0.72%
08-11-2010,19.61,19.22,20.12,17.49,,2.03%
09-11-2010,18.75,19.61,19.78,17.17,,-4.39%
10-11-2010,19.08,18.75,19.26,16.45,,1.76%
11-11-2010,19.36,19.08,19.91,16.38,,1.47%
12-11-2010,21.63,19.36,22.41,17.63,,11.73%
15-11-2010,20.25,21.63,22.48,19.26,,-6.38%
16-11-2010,21.13,20.25,22.42,17.52,,4.35%
18-11-2010,20.62,21.13,22.82,17.59,,-2.41%
19-11-2010,21.6,20.62,21.91,18.41,,4.75%
22-11-2010,19.93,21.6,21.85,19.44,,-7.73%
23-11-2010,23.26,19.93,24.95,19.4,,16.71%
24-11-2010,24.68,23.26,24.95,20.95,,6.10%
25-11-2010,21.63,24.68,24.68,21.12,,-12.36%
26-11-2010,22.58,21.63,23.84,20.1,,4.39%
29-11-2010,21.31,22.58,22.89,21.31,,-5.62%
30-11-2010,20.71,21.31,22.22,20.64,,-2.82%
01-12-2010,19.2,20.71,20.71,19.08,,-7.29%
02-12-2010,18.8,19.2,19.51,17.56,,-2.08%
03-12-2010,18.6,18.8,19.28,17.14,,-1.06%
06-12-2010,19.37,18.6,19.37,17.46,,4.14%
07-12-2010,19.24,19.37,19.79,17.75,,-0.67%
08-12-2010,20.43,19.24,20.95,18.21,,6.19%
09-12-2010,22.6,20.43,23.01,18.22,,10.62%
10-12-2010,21.63,22.6,22.86,21.43,,-4.29%
13-12-2010,22.57,21.63,23.72,20.14,,4.35%
14-12-2010,21.46,22.57,22.83,21.29,,-4.92%
15-12-2010,21.42,21.46,22.09,20.67,,-0.19%
16-12-2010,20.24,21.42,21.6,19.94,,-5.51%
20-12-2010,20.78,20.24,21.88,20.24,,2.67%
21-12-2010,19.77,20.78,20.78,18.75,,-4.86%
22-12-2010,19.56,19.77,20.06,18.67,,-1.06%
23-12-2010,19.03,19.56,19.78,18.81,,-2.71%
24-12-2010,17.65,19.03,19.31,17.62,,-7.25%
27-12-2010,18.45,17.65,18.69,17.05,,4.53%
28-12-2010,18.13,18.45,18.83,17.89,,-1.73%
29-12-2010,17.13,18.13,18.32,17.13,,-5.52%
30-12-2010,17.02,17.13,17.98,16.48,,-0.64%
31-12-2010,16.56,17.02,17.05,16.34,,-2.70%
03-01-2011,16.99,16.56,17.1,15.28,,2.60%
04-01-2011,17.03,16.99,17.52,15.76,,0.24%
05-01-2011,17.88,17.03,18.43,16.8,,4.99%
06-01-2011,18.2,17.88,18.87,16.69,,1.79%
07-01-2011,20.82,18.2,20.87,17.64,,14.40%
10-01-2011,23.16,20.82,23.24,19.61,,11.24%
11-01-2011,22.33,23.16,24.11,21.73,,-3.58%
12-01-2011,21.41,22.33,23.76,20.44,,-4.12%
13-01-2011,23.15,21.41,23.49,21.15,,8.13%
14-01-2011,23.81,23.15,24.06,20.99,,2.85%
17-01-2011,23.57,23.81,25.52,23.57,,-1.01%
18-01-2011,21.46,23.57,23.64,21.44,,-8.95%
19-01-2011,21.09,21.46,21.84,20.6,,-1.72%
20-01-2011,21.01,21.09,21.77,20.06,,-0.38%
21-01-2011,21.03,21.01,21.49,19.06,,0.10%
24-01-2011,20.17,21.03,21.14,20.1,,-4.09%
25-01-2011,20.78,20.17,21.1,18.93,,3.02%
27-01-2011,22.09,20.78,22.27,19.08,,6.30%
28-01-2011,22.58,22.09,23.79,21.74,,2.22%
31-01-2011,23.41,22.58,24.67,22.58,,3.68%
01-02-2011,23.73,23.41,24.69,21.67,,1.37%
02-02-2011,23.52,23.73,23.73,21.65,,-0.88%
03-02-2011,22.69,23.52,23.54,22.46,,-3.53%
04-02-2011,24.41,22.69,24.77,21.96,,7.58%
07-02-2011,24.69,24.41,25.44,23.59,,1.15%
08-02-2011,24.74,24.69,25.32,23.17,,0.20%
09-02-2011,25.24,24.74,26.03,24.53,,2.02%
10-02-2011,24.82,25.24,26.11,23.92,,-1.66%
11-02-2011,23.47,24.82,24.84,21.86,,-5.44%
14-02-2011,22.58,23.47,23.69,21.56,,-3.79%
15-02-2011,22.85,22.58,23.43,20.76,,1.20%
16-02-2011,23.05,22.85,23.59,21.7,,0.88%
17-02-2011,22.57,23.05,23.41,22.04,,-2.08%
18-02-2011,24.18,22.57,24.52,20.38,,7.13%
21-02-2011,24.91,24.18,26.27,23.65,,3.02%
22-02-2011,26.85,24.91,28.13,24.91,,7.79%
23-02-2011,26.55,26.85,27.24,26.17,,-1.12%
24-02-2011,28.2,26.55,28.9,26.39,,6.21%
25-02-2011,27.27,28.2,29.05,27.19,,-3.30%
28-02-2011,24.4,27.27,27.88,22.37,,-10.52%
01-03-2011,22.22,24.4,24.4,22.22,,-8.93%
03-03-2011,22.96,22.22,23.84,22.07,,3.33%
04-03-2011,22.91,22.96,23.51,21.83,,-0.22%
07-03-2011,25.22,22.91,26.12,22.91,,10.08%
08-03-2011,23.67,25.22,25.22,23.63,,-6.15%
09-03-2011,23.28,23.67,24.23,22.46,,-1.65%
10-03-2011,23.53,23.28,24.17,22.63,,1.07%
11-03-2011,24.13,23.53,25.22,22.87,,2.55%
14-03-2011,23.3,24.13,24.64,23.07,,-3.44%
15-03-2011,26.63,23.3,27.52,23.3,,14.29%
16-03-2011,24.89,26.63,26.63,24.14,,-6.53%
17-03-2011,25.26,24.89,26.11,23.47,,1.49%
18-03-2011,25.89,25.26,26.6,23.27,,2.49%
21-03-2011,25.21,25.89,26.59,23.69,,-2.63%
22-03-2011,22.26,25.21,25.21,22.18,,-11.70%
23-03-2011,20.97,22.26,22.37,20.97,,-5.80%
24-03-2011,19.84,20.97,20.97,18.83,,-5.39%
25-03-2011,20.47,19.84,20.68,19,,3.18%
28-03-2011,21.02,20.47,21.87,20.24,,2.69%
29-03-2011,21.22,21.02,22.19,20.37,,0.95%
30-03-2011,22.04,21.22,22.14,19.95,,3.86%
31-03-2011,22.18,22.04,22.98,21.13,,0.64%
01-04-2011,20.11,22.18,22.18,20.1,,-9.33%
04-04-2011,20.06,20.11,21.06,19.9,,-0.25%
05-04-2011,19.9,20.06,20.72,18.84,,-0.80%
06-04-2011,20.36,19.9,20.54,19.42,,2.31%
07-04-2011,20.32,20.36,20.79,19.97,,-0.20%
08-04-2011,20.54,20.32,21.06,19.24,,1.08%
11-04-2011,21.24,20.54,21.63,20.36,,3.41%
13-04-2011,20.41,21.24,21.29,20.28,,-3.91%
15-04-2011,21.59,20.41,22.4,19.54,,5.78%
18-04-2011,22.45,21.59,22.99,21.14,,3.98%
19-04-2011,22.07,22.45,23.04,21.5,,-1.69%
20-04-2011,20.99,22.07,22.07,20.79,,-4.89%
21-04-2011,20.51,20.99,20.99,19.86,,-2.29%
25-04-2011,20.91,20.51,21.62,20.41,,1.95%
26-04-2011,21.71,20.91,22.42,20.88,,3.83%
27-04-2011,21.35,21.71,21.89,20.72,,-1.66%
28-04-2011,20.92,21.35,21.65,20.25,,-2.01%
29-04-2011,19.58,20.92,20.92,18.45,,-6.41%
02-05-2011,20.88,19.58,21.13,19.58,,6.64%
03-05-2011,21.58,20.88,21.94,20.35,,3.35%
04-05-2011,21.18,21.58,21.81,20.58,,-1.85%
05-05-2011,21.6,21.18,21.7,19.88,,1.98%
06-05-2011,20.97,21.6,21.6,19.36,,-2.92%
09-05-2011,21.5,20.97,21.95,19.92,,2.53%
10-05-2011,21.74,21.5,21.91,20.19,,1.12%
11-05-2011,21.24,21.74,21.74,19.89,,-2.30%
12-05-2011,21.23,21.24,21.45,19.83,,-0.05%
13-05-2011,20.63,21.23,21.23,19.4,,-2.83%
16-05-2011,21.46,20.63,21.97,19.9,,4.02%
17-05-2011,21.03,21.46,21.46,19.76,,-2.00%
18-05-2011,20.71,21.03,21.42,19.42,,-1.52%
19-05-2011,20.41,20.71,20.72,19.13,,-1.45%
20-05-2011,19.45,20.41,20.41,18.42,,-4.70%
23-05-2011,21.04,19.45,23.45,18.52,,8.17%
24-05-2011,19.93,21.04,21.36,19.55,,-5.28%
25-05-2011,20.66,19.93,24.31,19.35,,3.66%
26-05-2011,19.18,20.66,20.85,18.53,,-7.16%
27-05-2011,17.25,19.18,19.18,17.14,,-10.06%
30-05-2011,17.87,17.25,18.87,17.25,,3.59%
31-05-2011,16.82,17.87,17.87,16.67,,-5.88%
01-06-2011,16.73,16.82,17.43,16.36,,-0.54%
02-06-2011,17.98,16.73,18.04,16.73,,7.47%
03-06-2011,17.61,17.98,18.17,16.99,,-2.06%
06-06-2011,18.21,17.61,18.84,17.59,,3.41%
07-06-2011,18.03,18.21,18.58,17.84,,-0.99%
08-06-2011,18.58,18.03,18.72,17.71,,3.05%
09-06-2011,18.58,18.58,19,17.8,,0.00%
10-06-2011,18.54,18.58,19.75,17.55,,-0.22%
13-06-2011,18.91,18.54,19.41,18.23,,2.00%
14-06-2011,18.51,18.91,18.91,17.53,,-2.12%
15-06-2011,19.14,18.51,19.22,17.9,,3.40%
16-06-2011,19.66,19.14,19.86,18.34,,2.72%
17-06-2011,20.27,19.66,20.28,18.6,,3.10%
20-06-2011,22.18,20.27,24.38,19.78,,9.42%
21-06-2011,21.31,22.18,22.18,20.93,,-3.92%
22-06-2011,20.89,21.31,21.31,20.24,,-1.97%
23-06-2011,19.5,20.89,20.95,19.47,,-6.65%
24-06-2011,19.32,19.5,19.5,18.25,,-0.92%
27-06-2011,19.99,19.32,20.37,19.21,,3.47%
28-06-2011,19.49,19.99,19.99,19.32,,-2.50%
29-06-2011,19.46,19.49,19.54,18.76,,-0.15%
30-06-2011,18.41,19.46,19.46,18.41,,-5.40%
01-07-2011,18.21,18.41,18.43,17.79,,-1.09%
04-07-2011,18.17,18.21,18.71,17.84,,-0.22%
05-07-2011,18.25,18.17,18.52,17.78,,0.44%
06-07-2011,18.34,18.25,18.49,18.12,,0.49%
07-07-2011,18.62,18.34,18.62,17.35,,1.53%
08-07-2011,18.67,18.62,18.79,18.02,,0.27%
11-07-2011,19.69,18.67,19.71,18.6,,5.46%
12-07-2011,20.83,19.69,21.22,19.41,,5.79%
13-07-2011,19.52,20.83,20.83,19.5,,-6.29%
14-07-2011,19.97,19.52,20.29,17.85,,2.31%
15-07-2011,19.95,19.97,20.26,19.08,,-0.10%
18-07-2011,20.2,19.95,20.4,19.29,,1.25%
19-07-2011,19.25,20.2,20.2,19.08,,-4.70%
20-07-2011,19.11,19.25,19.46,18.48,,-0.73%
