Datetime,Adj Close,Close,High,Low,Open,Volume
2026-06-22 09:15:00+05:30,24098.25,24098.25,24130.40039,24073.80078,24110.15039,0
2026-06-22 09:16:00+05:30,24117.5,24117.5,24118.5,24095.80078,24097.44922,0
2026-06-22 09:17:00+05:30,24128.44922,24128.44922,24134.80078,24116.25,24116.25,0
2026-06-22 09:18:00+05:30,24131.19922,24131.19922,24136.94922,24125.80078,24128.44922,0
2026-06-22 09:19:00+05:30,24122.15039,24122.15039,24135.05078,24120.5,24131.80078,0
2026-06-22 09:20:00+05:30,24124.94922,24124.94922,24133.09961,24117.55078,24121.34961,0
2026-06-22 09:21:00+05:30,24130,24130,24133.5,24120.34961,24124.59961,0
2026-06-22 09:22:00+05:30,24135.69922,24135.69922,24135.90039,24123.80078,24131.55078,0
2026-06-22 09:23:00+05:30,24138.44922,24138.44922,24142.40039,24132.15039,24134.84961,0
2026-06-22 09:24:00+05:30,24136.84961,24136.84961,24141.59961,24134.65039,24138.59961,0
2026-06-22 09:25:00+05:30,24129.59961,24129.59961,24140.84961,24129.59961,24137.69922,0
2026-06-22 09:26:00+05:30,24138.80078,24138.80078,24141.25,24129.55078,24130.19922,0
2026-06-22 09:27:00+05:30,24130.09961,24130.09961,24139.30078,24125.05078,24137.94922,0
2026-06-22 09:28:00+05:30,24126.19922,24126.19922,24132,24124.84961,24129.40039,0
2026-06-22 09:29:00+05:30,24131.19922,24131.19922,24133.34961,24124.05078,24126.15039,0
2026-06-22 09:30:00+05:30,24132.75,24132.75,24136.09961,24127.40039,24130.25,0
2026-06-22 09:31:00+05:30,24136.34961,24136.34961,24138.5,24133,24133,0
2026-06-22 09:32:00+05:30,24130.09961,24130.09961,24137.65039,24128.09961,24135.69922,0
2026-06-22 09:33:00+05:30,24131.09961,24131.09961,24134.69922,24128.25,24131.40039,0
2026-06-22 09:34:00+05:30,24132.80078,24132.80078,24136.55078,24130.44922,24131.44922,0
2026-06-22 09:35:00+05:30,24126.40039,24126.40039,24136.59961,24125.40039,24132.44922,0
2026-06-22 09:36:00+05:30,24117.59961,24117.59961,24129.25,24116.44922,24127.5,0
2026-06-22 09:37:00+05:30,24114.84961,24114.84961,24123.25,24114.84961,24118,0
2026-06-22 09:38:00+05:30,24113.69922,24113.69922,24118.84961,24111.69922,24114.75,0
2026-06-22 09:39:00+05:30,24124.80078,24124.80078,24126.30078,24114.25,24114.25,0
2026-06-22 09:40:00+05:30,24124.44922,24124.44922,24126.5,24121.90039,24124.19922,0
2026-06-22 09:41:00+05:30,24124.75,24124.75,24127.69922,24119.40039,24124.25,0
2026-06-22 09:42:00+05:30,24117.25,24117.25,24125.59961,24114.75,24125.15039,0
